Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1695.957s	5,791,840,000,000	9,647,856,000,000	0.600	40.9%	8.2%	42.0%	17.2%	0.2%	0.1%	11.2%	0.0%	0.0%	0.0%	0.0%	5.4%	3.4 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1335.661s	4,538,704,000,000	12,675,824,000,000	0.358	69.1%	2.9%	6.2%	1.9%	0.0%	0.0%	9.3%	0.0%	0.0%	0.0%	0.2%	20.4%	3.4 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	590.821s	2,023,632,000,000	7,659,056,000,000	0.264	91.6%	1.7%	0.0%	0.9%	0.2%	0.1%	13.5%	0.0%	0.0%	0.2%	0.1%	6.4%	3.4 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	492.010s	1,692,384,000,000	5,857,408,000,000	0.289	81.4%	0.6%	2.0%	0.2%	0.0%	0.0%	9.3%	0.0%	0.0%	0.0%	0.2%	15.0%	3.4 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	413.000s	1,406,544,000,000	5,199,536,000,000	0.271	89.2%	0.4%	0.0%	0.8%	0.0%	0.3%	8.1%	0.4%	0.0%	0.0%	0.2%	11.0%	3.4 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	334.305s	1,124,176,000,000	1,345,664,000,000	0.835	26.4%	14.5%	51.9%	6.7%	0.0%	0.1%	11.0%	0.0%	0.0%	0.0%	0.0%	5.9%	3.4 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	219.475s	755,936,000,000	161,072,000,000	4.693	7.0%	1.8%	0.9%	23.3%	12.3%	28.6%	63.1%	36.9%	1.1%	0.0%	80.2%	9.7%	3.4 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	212.090s	724,704,000,000	167,280,000,000	4.332	5.3%	0.7%	0.0%	9.7%	13.3%	14.5%	74.9%	100.0%	100.0%	0.0%	89.2%	4.9%	3.4 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
jpeg_idct_16x16	207.630s	712,240,000,000	2,488,576,000,000	0.286	86.5%	1.2%	0.0%	0.5%	0.0%	0.0%	8.3%	0.0%	0.0%	0.0%	0.6%	11.9%	3.4 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	147.840s	506,976,000,000	205,264,000,000	2.470	13.5%	0.3%	0.2%	23.6%	11.9%	7.7%	95.5%	0.0%	0.0%	0.0%	9.7%	38.4%	3.4 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
func@0x3fd7b0	144.885s	462,992,000,000	1,123,920,000,000	0.412	54.2%	1.1%	0.0%	6.5%	5.4%	0.0%	0.1%	0.0%	0.0%	0.0%	0.0%	37.0%	3.2 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
decompress_onepass	133.345s	455,552,000,000	897,824,000,000	0.507	54.8%	5.4%	19.8%	3.7%	0.0%	0.2%	8.6%	0.0%	0.0%	0.0%	0.3%	17.5%	3.4 GHz	[Unknown]	decompress_onepass	[Unknown]	0
ImagingUnpackRGB	126.060s	439,760,000,000	1,798,448,000,000	0.245	84.9%	6.2%	0.1%	0.9%	0.0%	0.0%	10.0%	0.0%	0.0%	0.0%	1.6%	7.2%	3.5 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
clear_page_erms	121.830s	412,048,000,000	22,512,000,000	18.303	7.4%	1.2%	0.0%	0.0%	0.0%	0.0%	1.6%	0.0%	0.0%	0.0%	91.9%	46.5%	3.4 GHz	[Unknown]	clear_page_erms	[Unknown]	0
_PyEval_EvalFrameDefault	87.645s	283,888,000,000	250,176,000,000	1.135	22.0%	35.5%	20.0%	3.1%	3.0%	18.0%	21.7%	11.0%	0.0%	0.0%	2.9%	7.2%	3.2 GHz	[Unknown]	_PyEval_EvalFrameDefault	ceval.c	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>	77.605s	268,576,000,000	1,238,624,000,000	0.217	100.0%	0.7%	0.0%	0.6%	0.1%	0.1%	57.6%	0.0%	0.0%	0.0%	0.0%	0.0%	3.5 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
__memset_avx2_erms	76.335s	267,136,000,000	784,000,000	340.735	5.3%	0.2%	0.0%	0.0%	0.0%	0.0%	0.8%	0.0%	0.0%	0.0%	92.7%	46.3%	3.5 GHz	[Unknown]	__memset_avx2_erms	memset-vec-unaligned-erms.S	0
at::native::(anonymous namespace)::cat_serial_kernel	73.075s	266,480,000,000	106,720,000,000	2.497	9.4%	7.3%	6.7%	4.1%	0.0%	2.9%	61.9%	100.0%	4.4%	0.0%	6.9%	24.5%	3.6 GHz	[Unknown]	at::native::(anonymous namespace)::cat_serial_kernel(at::Tensor const&, std::vector<std::reference_wrapper<at::Tensor const>, std::allocator<std::reference_wrapper<at::Tensor const>>> const&, long)	[Unknown]	0
prepare_exit_to_usermode	45.575s	150,720,000,000	13,664,000,000	11.030	9.6%	16.3%	0.0%	0.7%	1.3%	0.0%	3.6%	0.0%	0.0%	0.0%	0.0%	63.4%	3.3 GHz	[Unknown]	prepare_exit_to_usermode	[Unknown]	0
jpeg_idct_16x8	44.465s	138,880,000,000	490,336,000,000	0.283	79.8%	4.2%	6.9%	0.5%	0.0%	0.0%	23.2%	0.0%	0.0%	0.0%	0.5%	8.7%	3.1 GHz	[Unknown]	jpeg_idct_16x8	[Unknown]	0
page_fault	43.585s	154,576,000,000	5,664,000,000	27.291	10.1%	12.1%	8.5%	0.0%	0.0%	0.0%	55.9%	0.0%	0.0%	0.0%	6.7%	53.4%	3.5 GHz	[Unknown]	page_fault	[Unknown]	0
jpeg_huff_decode	42.515s	141,152,000,000	133,296,000,000	1.059	24.9%	21.2%	56.1%	4.5%	0.0%	0.3%	12.5%	0.0%	0.0%	0.0%	0.0%	0.0%	3.3 GHz	[Unknown]	jpeg_huff_decode	[Unknown]	0
