Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1840.382s	6,286,416,000,000	10,823,728,000,000	0.581	41.6%	8.5%	42.9%	17.0%	0.1%	0.1%	12.3%	0.0%	0.0%	0.0%	0.0%	4.3%	3.4 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1474.191s	5,025,888,000,000	14,097,824,000,000	0.357	70.1%	2.8%	5.9%	1.8%	0.0%	0.0%	10.6%	0.0%	0.0%	0.0%	0.2%	19.8%	3.4 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	658.551s	2,267,120,000,000	8,257,488,000,000	0.275	87.9%	1.6%	0.0%	1.3%	0.1%	0.1%	12.6%	0.0%	0.0%	0.0%	0.1%	9.5%	3.4 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	533.026s	1,796,672,000,000	6,396,016,000,000	0.281	84.1%	0.6%	0.0%	0.3%	0.0%	0.0%	11.2%	0.2%	0.0%	0.0%	0.1%	12.9%	3.4 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	462.315s	1,567,376,000,000	5,372,176,000,000	0.292	85.1%	0.4%	1.4%	1.3%	0.0%	0.3%	8.0%	0.0%	0.0%	0.0%	0.1%	12.3%	3.4 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	360.750s	1,221,856,000,000	1,455,824,000,000	0.839	27.6%	14.3%	55.4%	6.8%	0.1%	0.1%	11.7%	0.0%	0.0%	0.0%	0.0%	2.2%	3.4 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	245.130s	846,928,000,000	174,944,000,000	4.841	6.4%	2.0%	0.9%	21.7%	12.3%	29.5%	63.4%	32.9%	0.9%	0.0%	81.1%	10.2%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	227.015s	798,192,000,000	2,680,208,000,000	0.298	82.7%	1.3%	0.0%	0.4%	0.0%	0.0%	10.1%	0.0%	0.0%	0.0%	0.7%	15.9%	3.5 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	220.145s	709,424,000,000	166,416,000,000	4.263	5.2%	0.7%	0.2%	12.7%	11.0%	15.2%	81.8%	100.0%	100.0%	0.0%	94.8%	4.6%	3.2 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
func@0x3fd7b0	180.375s	567,200,000,000	1,237,552,000,000	0.458	51.2%	1.5%	0.0%	7.4%	3.3%	0.0%	0.4%	2.3%	0.0%	0.0%	0.0%	39.2%	3.1 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
