Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1765.722s	6,132,656,000,000	10,387,008,000,000	0.590	40.8%	8.2%	41.6%	17.0%	0.2%	0.1%	17.1%	0.0%	0.0%	0.0%	0.0%	5.7%	3.5 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1387.826s	4,866,528,000,000	13,542,240,000,000	0.359	69.1%	2.7%	6.9%	1.8%	0.0%	0.0%	14.7%	0.1%	0.0%	0.0%	0.1%	20.0%	3.5 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	607.126s	2,098,960,000,000	8,058,496,000,000	0.260	91.5%	1.7%	1.2%	0.6%	0.0%	0.1%	14.0%	0.0%	0.0%	0.0%	0.0%	5.2%	3.5 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	504.775s	1,774,112,000,000	6,251,504,000,000	0.284	85.4%	0.4%	0.0%	0.1%	0.0%	0.0%	14.9%	0.0%	0.0%	0.0%	0.0%	14.0%	3.5 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	424.945s	1,486,720,000,000	5,411,424,000,000	0.275	87.7%	0.2%	0.0%	0.6%	0.0%	0.3%	9.9%	0.0%	0.0%	0.0%	0.0%	11.7%	3.5 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	345.990s	1,195,184,000,000	1,454,784,000,000	0.822	28.3%	14.2%	52.8%	6.3%	0.2%	0.1%	16.8%	0.0%	0.0%	0.0%	0.0%	3.8%	3.5 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	222.880s	736,480,000,000	160,416,000,000	4.591	4.9%	0.6%	0.0%	11.8%	9.5%	15.8%	79.9%	100.0%	100.0%	0.0%	93.0%	5.5%	3.3 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
func@0x3fd7b0	219.645s	784,912,000,000	2,122,576,000,000	0.370	61.5%	0.4%	2.8%	2.8%	0.0%	0.0%	1.5%	0.0%	0.0%	0.0%	0.0%	32.8%	3.6 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
jpeg_idct_16x16	214.355s	738,544,000,000	2,655,536,000,000	0.278	89.3%	1.3%	0.9%	0.2%	0.0%	0.0%	13.0%	0.0%	0.0%	0.0%	0.6%	8.2%	3.4 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
__memmove_avx_unaligned_erms	208.850s	737,440,000,000	164,000,000,000	4.497	8.5%	1.8%	0.1%	20.3%	14.0%	29.9%	67.7%	23.9%	0.0%	0.0%	80.3%	9.4%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	150.475s	520,624,000,000	211,072,000,000	2.467	13.2%	0.3%	0.0%	25.4%	13.0%	6.1%	89.6%	0.0%	0.0%	0.0%	8.0%	41.9%	3.5 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
clear_page_erms	140.325s	480,768,000,000	20,144,000,000	23.867	6.2%	1.0%	0.0%	0.0%	0.0%	0.0%	2.2%	0.0%	0.0%	0.0%	97.3%	45.8%	3.4 GHz	[Unknown]	clear_page_erms	[Unknown]	0
decompress_onepass	134.355s	476,848,000,000	956,320,000,000	0.499	54.0%	5.2%	19.3%	2.7%	0.0%	0.1%	16.0%	0.0%	0.0%	0.0%	0.2%	19.4%	3.5 GHz	[Unknown]	decompress_onepass	[Unknown]	0
ImagingUnpackRGB	133.470s	453,552,000,000	1,901,792,000,000	0.238	85.7%	5.7%	2.1%	0.4%	0.1%	0.2%	16.5%	0.0%	0.0%	0.0%	0.4%	2.2%	3.4 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
_PyEval_EvalFrameDefault	86.940s	266,992,000,000	248,880,000,000	1.073	23.7%	41.3%	19.1%	6.0%	0.0%	22.2%	26.3%	3.8%	1.5%	0.0%	2.1%	4.0%	3.1 GHz	[Unknown]	_PyEval_EvalFrameDefault	ceval.c	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>	82.005s	291,392,000,000	1,317,392,000,000	0.221	100.0%	0.4%	2.6%	0.0%	0.2%	0.2%	61.7%	0.0%	0.0%	0.0%	0.0%	0.0%	3.6 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
__memset_avx2_erms	78.835s	257,408,000,000	112,000,000	2,298.286	5.7%	0.2%	0.0%	0.0%	0.1%	0.0%	2.8%	0.0%	0.0%	0.0%	90.1%	47.4%	3.3 GHz	[Unknown]	__memset_avx2_erms	memset-vec-unaligned-erms.S	0
at::native::(anonymous namespace)::cat_serial_kernel	68.990s	254,848,000,000	109,168,000,000	2.334	12.4%	7.2%	4.7%	3.7%	1.4%	2.9%	67.4%	100.0%	0.0%	0.0%	4.9%	26.9%	3.7 GHz	[Unknown]	at::native::(anonymous namespace)::cat_serial_kernel(at::Tensor const&, std::vector<std::reference_wrapper<at::Tensor const>, std::allocator<std::reference_wrapper<at::Tensor const>>> const&, long)	[Unknown]	0
func@0x159f20	51.830s	178,928,000,000	494,448,000,000	0.362	68.1%	0.8%	7.0%	4.5%	0.0%	0.0%	0.8%	0.0%	0.0%	0.0%	0.0%	21.0%	3.5 GHz	[Unknown]	func@0x159f20	[Unknown]	0
page_fault	46.660s	165,744,000,000	7,632,000,000	21.717	11.4%	11.3%	7.9%	0.0%	0.5%	0.0%	47.2%	0.0%	0.0%	0.0%	6.2%	54.1%	3.6 GHz	[Unknown]	page_fault	[Unknown]	0
jpeg_idct_16x8	45.660s	159,024,000,000	537,184,000,000	0.296	79.7%	3.3%	3.8%	1.1%	0.0%	0.0%	28.0%	0.0%	0.0%	0.0%	0.2%	12.3%	3.5 GHz	[Unknown]	jpeg_idct_16x8	[Unknown]	0
prepare_exit_to_usermode	44.350s	152,976,000,000	13,040,000,000	11.731	10.5%	15.1%	1.0%	1.1%	0.8%	0.4%	3.4%	0.0%	0.0%	0.0%	0.0%	62.4%	3.4 GHz	[Unknown]	prepare_exit_to_usermode	[Unknown]	0
jpeg_huff_decode	43.275s	158,384,000,000	144,560,000,000	1.096	25.5%	18.5%	44.9%	4.2%	0.2%	0.3%	15.2%	0.0%	0.0%	0.0%	0.0%	9.0%	3.7 GHz	[Unknown]	jpeg_huff_decode	[Unknown]	0
clock_gettime	38.455s	128,128,000,000	281,968,000,000	0.454	62.2%	1.8%	0.0%	22.0%	0.0%	0.0%	0.7%	0.0%	0.0%	0.0%	0.0%	41.7%	3.3 GHz	[Unknown]	clock_gettime	[Unknown]	0
zap_pte_range.isra.0	36.940s	94,464,000,000	54,112,000,000	1.746	18.3%	5.4%	0.0%	13.7%	0.0%	0.2%	7.6%	35.6%	64.5%	0.0%	0.0%	5.2%	2.6 GHz	[Unknown]	zap_pte_range.isra.0	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>	35.270s	126,592,000,000	128,976,000,000	0.982	27.1%	0.7%	0.0%	0.5%	21.1%	10.9%	92.1%	0.0%	0.0%	0.0%	34.0%	24.3%	3.6 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>(long, char**, long const*, long, long)	[Unknown]	0
ImagingPackRGB	31.345s	114,944,000,000	438,032,000,000	0.262	83.9%	4.7%	5.2%	0.8%	0.0%	0.7%	40.5%	0.0%	0.0%	0.0%	0.3%	5.6%	3.7 GHz	[Unknown]	ImagingPackRGB	[Unknown]	0
func@0x4e0d70	30.940s	109,744,000,000	146,880,000,000	0.747	40.0%	3.1%	10.7%	0.5%	0.0%	0.0%	0.7%	0.0%	0.0%	0.0%	0.0%	45.8%	3.5 GHz	[Unknown]	func@0x4e0d70	[Unknown]	0
