Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1821.297s	6,322,144,000,000	10,451,584,000,000	0.605	41.0%	8.3%	41.0%	16.9%	0.2%	0.1%	14.1%	0.0%	0.0%	0.0%	0.0%	6.0%	3.5 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1432.241s	4,953,280,000,000	13,740,288,000,000	0.360	68.8%	2.6%	6.5%	1.8%	0.0%	0.0%	12.2%	0.0%	0.1%	0.0%	0.2%	20.8%	3.5 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	635.786s	2,199,552,000,000	8,440,192,000,000	0.261	90.1%	1.6%	1.4%	0.8%	0.1%	0.1%	15.2%	0.0%	0.0%	0.0%	0.1%	6.4%	3.5 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	514.505s	1,800,576,000,000	6,281,728,000,000	0.287	85.3%	0.3%	0.0%	0.2%	0.0%	0.1%	12.4%	0.0%	0.0%	0.0%	0.1%	13.9%	3.5 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	440.025s	1,518,704,000,000	5,878,704,000,000	0.258	90.2%	0.2%	0.0%	0.8%	0.1%	0.2%	8.8%	0.0%	0.0%	0.0%	0.1%	9.2%	3.5 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	355.805s	1,227,408,000,000	1,428,752,000,000	0.859	27.1%	13.7%	54.7%	7.3%	0.0%	0.0%	14.2%	0.0%	0.0%	0.0%	0.0%	3.5%	3.4 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	229.100s	804,160,000,000	162,656,000,000	4.944	7.8%	1.4%	0.2%	22.0%	10.7%	32.1%	64.5%	31.3%	0.0%	0.0%	81.6%	10.4%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	219.455s	708,720,000,000	157,376,000,000	4.503	4.9%	0.7%	0.9%	9.1%	15.1%	14.5%	76.4%	100.0%	100.0%	0.0%	88.9%	5.2%	3.2 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
jpeg_idct_16x16	217.020s	749,792,000,000	2,703,632,000,000	0.277	89.6%	1.0%	0.0%	0.4%	0.0%	0.0%	11.4%	0.0%	0.0%	0.0%	0.3%	9.3%	3.5 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
func@0x3fd7b0	181.955s	614,688,000,000	1,433,312,000,000	0.429	50.2%	0.7%	0.0%	6.8%	3.8%	0.0%	0.1%	0.0%	0.0%	0.0%	0.0%	41.3%	3.4 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	162.280s	548,512,000,000	239,200,000,000	2.293	13.2%	0.2%	0.0%	25.8%	10.3%	7.6%	92.8%	0.0%	0.0%	0.0%	9.6%	39.5%	3.4 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
decompress_onepass	142.295s	497,728,000,000	973,344,000,000	0.511	51.4%	4.8%	22.7%	3.0%	0.1%	0.1%	12.6%	0.0%	0.0%	0.0%	0.3%	18.8%	3.5 GHz	[Unknown]	decompress_onepass	[Unknown]	0
