Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1772.177s	6,132,256,000,000	10,189,824,000,000	0.602	40.9%	8.1%	41.7%	16.9%	0.2%	0.1%	11.9%	0.0%	0.0%	0.0%	0.0%	5.7%	3.5 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1381.201s	4,813,712,000,000	13,366,800,000,000	0.360	69.4%	2.7%	7.3%	1.8%	0.0%	0.0%	9.9%	0.0%	0.0%	0.0%	0.1%	19.4%	3.5 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	623.651s	2,122,592,000,000	8,269,376,000,000	0.257	89.0%	1.6%	1.4%	0.7%	0.1%	0.1%	14.9%	0.3%	0.0%	0.0%	0.1%	7.5%	3.4 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	498.225s	1,774,400,000,000	6,173,968,000,000	0.287	85.2%	0.4%	1.3%	0.1%	0.0%	0.0%	10.8%	0.0%	0.0%	0.0%	0.1%	11.7%	3.6 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	429.700s	1,506,448,000,000	5,692,672,000,000	0.265	88.1%	0.2%	0.0%	0.8%	0.0%	0.2%	8.9%	0.0%	0.0%	0.0%	0.0%	13.7%	3.5 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	338.945s	1,202,128,000,000	1,399,392,000,000	0.859	27.4%	14.3%	51.9%	6.9%	0.0%	0.1%	12.0%	0.0%	0.0%	0.0%	0.0%	5.1%	3.5 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	225.495s	793,680,000,000	165,648,000,000	4.791	7.1%	1.7%	0.5%	22.0%	14.8%	27.9%	63.3%	30.3%	0.0%	0.0%	80.1%	9.8%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	217.825s	735,088,000,000	165,600,000,000	4.439	4.6%	0.6%	0.1%	14.5%	9.8%	15.8%	71.6%	100.0%	100.0%	0.0%	86.5%	5.6%	3.4 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
jpeg_idct_16x16	213.790s	767,600,000,000	2,596,064,000,000	0.296	88.8%	1.0%	0.2%	0.4%	0.0%	0.0%	9.4%	0.0%	0.0%	0.0%	0.5%	9.5%	3.6 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
func@0x3fd7b0	175.800s	599,072,000,000	1,384,592,000,000	0.433	52.3%	0.7%	0.0%	6.2%	4.2%	0.0%	0.3%	0.0%	0.0%	0.0%	0.0%	38.0%	3.4 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
