Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1811.387s	6,314,608,000,000	10,651,936,000,000	0.593	41.1%	8.3%	41.3%	17.0%	0.2%	0.1%	13.4%	0.0%	0.0%	0.0%	0.0%	5.7%	3.5 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1419.911s	4,949,536,000,000	13,938,800,000,000	0.355	69.4%	2.6%	6.9%	1.7%	0.0%	0.0%	11.9%	0.0%	0.0%	0.0%	0.1%	19.8%	3.5 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	631.521s	2,199,744,000,000	8,262,480,000,000	0.266	88.8%	2.1%	1.2%	0.8%	0.1%	0.1%	14.8%	0.0%	0.0%	0.0%	0.0%	7.4%	3.5 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	515.645s	1,781,264,000,000	6,355,344,000,000	0.280	83.9%	0.4%	1.2%	0.2%	0.0%	0.0%	13.1%	0.0%	0.0%	0.0%	0.1%	13.8%	3.5 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	440.040s	1,503,552,000,000	5,612,560,000,000	0.268	86.4%	0.2%	0.0%	1.0%	0.0%	0.3%	10.0%	0.0%	0.0%	0.0%	0.0%	13.2%	3.4 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	353.510s	1,236,368,000,000	1,454,128,000,000	0.850	27.6%	14.1%	51.9%	6.9%	0.0%	0.0%	13.2%	0.0%	0.0%	0.0%	0.0%	5.3%	3.5 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
jpeg_idct_16x16	222.340s	758,688,000,000	2,661,312,000,000	0.285	86.6%	1.1%	0.0%	0.5%	0.0%	0.0%	11.7%	0.0%	0.0%	0.0%	0.4%	11.9%	3.4 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
__memmove_avx_unaligned_erms	217.175s	759,392,000,000	168,752,000,000	4.500	7.8%	1.5%	0.0%	19.4%	15.6%	30.0%	66.4%	24.2%	0.0%	0.0%	82.0%	8.8%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	214.190s	717,824,000,000	166,592,000,000	4.309	5.2%	0.7%	0.0%	8.5%	14.3%	14.4%	77.4%	100.0%	100.0%	0.0%	88.9%	6.1%	3.4 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
func@0x3fd7b0	192.620s	666,736,000,000	1,563,888,000,000	0.426	52.6%	0.4%	0.0%	5.4%	3.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	40.3%	3.5 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	155.675s	545,824,000,000	219,488,000,000	2.487	14.0%	0.2%	0.0%	23.8%	12.3%	6.2%	88.8%	0.0%	0.0%	0.0%	8.1%	39.6%	3.5 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
decompress_onepass	139.040s	493,328,000,000	990,656,000,000	0.498	50.4%	5.4%	21.7%	2.3%	0.0%	0.1%	11.0%	0.0%	0.0%	0.0%	0.2%	20.4%	3.5 GHz	[Unknown]	decompress_onepass	[Unknown]	0
ImagingUnpackRGB	135.145s	464,448,000,000	1,920,672,000,000	0.242	95.1%	6.2%	0.0%	0.5%	0.0%	0.0%	13.9%	0.0%	0.0%	0.0%	0.6%	1.6%	3.4 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
clear_page_erms	122.040s	436,848,000,000	21,120,000,000	20.684	7.9%	1.2%	0.0%	0.0%	0.0%	0.0%	1.6%	0.0%	0.0%	0.0%	89.9%	48.2%	3.6 GHz	[Unknown]	clear_page_erms	[Unknown]	0
_PyEval_EvalFrameDefault	93.310s	278,992,000,000	268,800,000,000	1.038	25.0%	41.2%	21.9%	8.9%	0.2%	20.7%	24.8%	1.0%	0.0%	0.0%	2.4%	3.6%	3.0 GHz	[Unknown]	_PyEval_EvalFrameDefault	ceval.c	0
__memset_avx2_erms	86.100s	249,536,000,000	512,000,000	487.375	6.1%	0.1%	0.0%	0.0%	0.5%	0.0%	1.3%	0.0%	0.0%	0.0%	94.7%	47.0%	2.9 GHz	[Unknown]	__memset_avx2_erms	memset-vec-unaligned-erms.S	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>	83.200s	304,960,000,000	1,381,264,000,000	0.221	97.5%	0.4%	0.0%	0.0%	0.0%	0.2%	58.1%	0.0%	0.0%	0.0%	0.0%	2.9%	3.7 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
at::native::(anonymous namespace)::cat_serial_kernel	76.700s	271,328,000,000	110,192,000,000	2.462	11.4%	7.5%	2.7%	4.9%	0.0%	3.3%	63.0%	100.0%	4.3%	0.0%	5.1%	22.2%	3.5 GHz	[Unknown]	at::native::(anonymous namespace)::cat_serial_kernel(at::Tensor const&, std::vector<std::reference_wrapper<at::Tensor const>, std::allocator<std::reference_wrapper<at::Tensor const>>> const&, long)	[Unknown]	0
jpeg_idct_16x8	48.215s	166,576,000,000	539,904,000,000	0.309	75.9%	3.8%	8.6%	0.3%	0.0%	0.0%	23.3%	0.0%	0.0%	0.0%	0.5%	11.3%	3.5 GHz	[Unknown]	jpeg_idct_16x8	[Unknown]	0
prepare_exit_to_usermode	45.510s	150,416,000,000	9,568,000,000	15.721	9.9%	17.4%	0.7%	1.1%	0.7%	0.6%	3.2%	0.0%	0.0%	0.0%	0.0%	65.5%	3.3 GHz	[Unknown]	prepare_exit_to_usermode	[Unknown]	0
page_fault	44.820s	158,464,000,000	6,144,000,000	25.792	12.6%	11.9%	7.1%	0.0%	0.0%	0.0%	50.5%	0.0%	0.0%	0.0%	6.1%	52.9%	3.5 GHz	[Unknown]	page_fault	[Unknown]	0
jpeg_huff_decode	44.505s	153,952,000,000	144,800,000,000	1.063	22.2%	20.4%	57.0%	4.1%	0.5%	0.1%	13.5%	0.0%	0.0%	0.0%	0.0%	0.3%	3.5 GHz	[Unknown]	jpeg_huff_decode	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>	38.690s	129,776,000,000	128,720,000,000	1.008	29.4%	0.6%	0.0%	8.7%	17.1%	10.5%	91.5%	0.0%	0.0%	0.0%	39.6%	20.7%	3.4 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>(long, char**, long const*, long, long)	[Unknown]	0
