Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1776.792s	6,308,624,000,000	10,599,648,000,000	0.595	40.9%	8.2%	41.7%	16.7%	0.1%	0.1%	12.1%	0.0%	0.0%	0.0%	0.0%	5.6%	3.6 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1400.841s	4,942,336,000,000	13,940,496,000,000	0.355	69.9%	2.6%	5.8%	1.9%	0.0%	0.0%	10.2%	0.0%	0.0%	0.0%	0.2%	20.3%	3.5 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	622.951s	2,192,384,000,000	8,281,744,000,000	0.265	88.4%	1.7%	0.0%	0.8%	0.0%	0.1%	16.7%	0.3%	0.0%	0.0%	0.0%	9.4%	3.5 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	510.250s	1,807,792,000,000	6,365,968,000,000	0.284	85.0%	0.4%	1.2%	0.1%	0.0%	0.0%	11.4%	0.0%	0.0%	0.0%	0.1%	12.1%	3.5 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	428.640s	1,523,184,000,000	5,584,864,000,000	0.273	86.4%	0.2%	0.7%	0.9%	0.0%	0.2%	10.2%	0.0%	0.0%	0.0%	0.0%	12.0%	3.6 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	346.155s	1,203,344,000,000	1,458,960,000,000	0.825	28.0%	14.1%	53.9%	6.7%	0.0%	0.1%	12.7%	0.0%	0.0%	0.0%	0.0%	3.2%	3.5 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	218.005s	777,088,000,000	172,912,000,000	4.494	7.6%	1.5%	0.7%	22.5%	11.9%	31.2%	65.9%	23.7%	0.0%	0.0%	79.8%	10.0%	3.6 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	217.325s	758,896,000,000	2,668,816,000,000	0.284	89.4%	1.1%	0.0%	0.3%	0.1%	0.0%	10.8%	0.3%	0.0%	0.0%	0.5%	9.4%	3.5 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	209.235s	717,328,000,000	174,192,000,000	4.118	5.0%	0.6%	0.4%	8.7%	11.5%	14.9%	83.2%	100.0%	100.0%	0.0%	94.1%	4.2%	3.4 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
func@0x3fd7b0	175.105s	617,440,000,000	1,401,728,000,000	0.440	51.9%	1.1%	1.5%	4.4%	3.8%	0.0%	0.1%	0.0%	0.0%	0.0%	0.0%	38.3%	3.5 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
