Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1816.387s	6,313,856,000,000	10,781,024,000,000	0.586	41.3%	8.1%	41.5%	17.0%	0.2%	0.1%	15.0%	0.0%	0.0%	0.0%	0.0%	5.5%	3.5 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1432.076s	4,939,664,000,000	13,888,608,000,000	0.356	71.2%	2.6%	5.6%	1.8%	0.0%	0.0%	13.5%	0.0%	0.0%	0.0%	0.1%	19.3%	3.4 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	623.681s	2,189,760,000,000	8,255,648,000,000	0.265	87.1%	1.5%	3.1%	0.6%	0.0%	0.1%	17.4%	0.0%	0.0%	0.2%	0.0%	8.0%	3.5 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	518.730s	1,793,168,000,000	6,396,480,000,000	0.280	84.9%	0.5%	1.0%	0.3%	0.0%	0.0%	14.1%	0.0%	0.0%	0.0%	0.0%	12.0%	3.5 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	437.865s	1,531,248,000,000	5,537,792,000,000	0.277	87.0%	0.2%	0.9%	0.4%	0.2%	0.2%	11.9%	0.0%	0.0%	0.0%	0.0%	11.4%	3.5 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	357.135s	1,219,216,000,000	1,469,184,000,000	0.830	27.3%	14.1%	52.9%	6.8%	0.1%	0.1%	14.6%	0.0%	0.0%	0.0%	0.0%	4.6%	3.4 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	230.100s	608,816,000,000	164,416,000,000	3.703	5.4%	0.6%	0.3%	12.0%	14.3%	13.4%	83.0%	100.0%	100.0%	3.4%	90.2%	5.2%	2.6 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
jpeg_idct_16x16	219.055s	770,032,000,000	2,691,616,000,000	0.286	84.5%	1.1%	0.5%	0.3%	0.0%	0.0%	12.1%	0.0%	0.4%	0.0%	0.3%	13.4%	3.5 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
__memmove_avx_unaligned_erms	210.670s	742,832,000,000	172,192,000,000	4.314	7.6%	1.8%	0.3%	22.3%	11.6%	31.8%	69.4%	20.3%	0.0%	0.0%	81.0%	8.1%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	152.355s	543,728,000,000	218,400,000,000	2.490	14.0%	0.2%	0.0%	25.2%	10.5%	6.0%	86.1%	0.0%	0.0%	0.0%	8.4%	40.3%	3.6 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
decompress_onepass	137.410s	493,344,000,000	1,027,344,000,000	0.480	53.4%	6.1%	24.8%	2.9%	0.0%	0.1%	13.1%	0.0%	0.0%	0.0%	0.1%	14.0%	3.6 GHz	[Unknown]	decompress_onepass	[Unknown]	0
ImagingUnpackRGB	134.605s	461,088,000,000	1,953,904,000,000	0.236	90.2%	6.1%	0.1%	0.5%	0.0%	0.2%	13.8%	0.0%	0.0%	0.0%	0.7%	3.2%	3.4 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
func@0x3fd7b0	119.125s	354,032,000,000	805,504,000,000	0.440	49.4%	0.7%	0.7%	5.8%	3.1%	0.0%	2.3%	1.9%	0.0%	1.9%	0.0%	40.9%	3.0 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
