Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1794.967s	6,363,088,000,000	10,666,592,000,000	0.597	40.7%	8.2%	41.4%	17.2%	0.1%	0.1%	14.2%	0.0%	0.0%	0.0%	0.0%	5.9%	3.5 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1415.176s	4,960,256,000,000	13,877,520,000,000	0.357	68.8%	2.6%	6.9%	1.8%	0.0%	0.0%	12.5%	0.0%	0.0%	0.0%	0.1%	20.3%	3.5 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	629.016s	2,189,888,000,000	8,248,304,000,000	0.265	91.1%	1.8%	0.0%	0.5%	0.0%	0.1%	16.2%	0.0%	0.0%	0.0%	0.0%	7.1%	3.5 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	514.490s	1,824,832,000,000	6,397,680,000,000	0.285	82.7%	0.3%	0.2%	0.2%	0.0%	0.0%	13.2%	0.0%	0.0%	0.2%	0.0%	15.8%	3.5 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	437.445s	1,479,360,000,000	5,567,648,000,000	0.266	89.8%	0.2%	0.0%	0.6%	0.1%	0.2%	10.8%	0.0%	0.0%	0.0%	0.1%	10.7%	3.4 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	349.380s	1,209,120,000,000	1,482,224,000,000	0.816	28.2%	14.3%	53.2%	6.2%	0.1%	0.0%	15.2%	0.0%	0.0%	0.0%	0.0%	3.6%	3.5 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	225.455s	702,304,000,000	178,352,000,000	3.938	5.2%	0.8%	0.1%	9.6%	15.3%	14.4%	80.1%	100.0%	100.0%	1.0%	93.6%	3.9%	3.1 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
jpeg_idct_16x16	220.570s	765,376,000,000	2,688,288,000,000	0.285	91.6%	0.8%	0.0%	0.5%	0.0%	0.0%	12.5%	0.0%	0.0%	0.0%	0.4%	7.7%	3.5 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
__memmove_avx_unaligned_erms	213.110s	733,456,000,000	172,816,000,000	4.244	8.3%	2.0%	0.8%	21.8%	12.2%	32.4%	71.4%	27.7%	0.0%	0.0%	82.6%	10.7%	3.4 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	149.270s	541,744,000,000	220,960,000,000	2.452	13.8%	0.4%	1.3%	24.0%	12.3%	5.7%	92.4%	1.3%	0.0%	0.0%	8.0%	40.8%	3.6 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
