Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
func@0x3fd7b0	146.550s	460,096,000,000	1,173,488,000,000	0.392	53.9%	0.6%	0.0%	6.0%	2.8%	0.0%	0.4%	0.0%	0.0%	0.0%	0.0%	38.8%	3.1 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
decompress_onepass	142.975s	504,832,000,000	1,039,136,000,000	0.486	50.6%	5.6%	25.1%	2.8%	0.1%	0.1%	12.2%	0.0%	0.0%	0.0%	0.3%	17.0%	3.5 GHz	[Unknown]	decompress_onepass	[Unknown]	0
ImagingUnpackRGB	130.145s	461,760,000,000	1,929,280,000,000	0.239	87.3%	6.0%	0.8%	0.6%	0.0%	0.0%	13.2%	0.0%	0.0%	0.0%	0.6%	5.3%	3.5 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
clear_page_erms	119.045s	416,176,000,000	24,768,000,000	16.803	6.7%	1.2%	0.0%	0.0%	0.0%	0.0%	1.4%	0.0%	0.0%	0.0%	92.4%	44.7%	3.5 GHz	[Unknown]	clear_page_erms	[Unknown]	0
_PyEval_EvalFrameDefault	100.655s	297,296,000,000	277,728,000,000	1.070	22.4%	35.7%	18.2%	6.3%	1.4%	19.6%	24.7%	6.7%	0.0%	0.0%	2.3%	6.2%	3.0 GHz	[Unknown]	_PyEval_EvalFrameDefault	ceval.c	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>	85.420s	291,664,000,000	1,379,456,000,000	0.211	98.4%	0.4%	3.8%	0.2%	0.0%	0.4%	58.3%	0.0%	0.0%	0.0%	0.0%	0.0%	3.4 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
__memset_avx2_erms	84.855s	250,672,000,000	272,000,000	921.588	5.0%	0.1%	1.1%	0.0%	0.0%	0.0%	2.2%	0.0%	0.0%	0.0%	93.3%	47.0%	3.0 GHz	[Unknown]	__memset_avx2_erms	memset-vec-unaligned-erms.S	0
at::native::(anonymous namespace)::cat_serial_kernel	73.920s	261,392,000,000	115,616,000,000	2.261	11.0%	6.5%	5.2%	0.0%	3.7%	3.3%	71.1%	100.0%	0.0%	0.0%	7.5%	27.7%	3.5 GHz	[Unknown]	at::native::(anonymous namespace)::cat_serial_kernel(at::Tensor const&, std::vector<std::reference_wrapper<at::Tensor const>, std::allocator<std::reference_wrapper<at::Tensor const>>> const&, long)	[Unknown]	0
jpeg_huff_decode	45.540s	159,264,000,000	145,776,000,000	1.093	25.1%	16.6%	46.8%	3.0%	0.2%	0.1%	12.2%	0.0%	0.0%	0.0%	0.0%	10.1%	3.5 GHz	[Unknown]	jpeg_huff_decode	[Unknown]	0
page_fault	45.205s	149,024,000,000	5,984,000,000	24.904	10.2%	11.7%	9.4%	0.0%	2.6%	0.0%	50.7%	0.0%	0.0%	0.0%	5.2%	54.4%	3.3 GHz	[Unknown]	page_fault	[Unknown]	0
jpeg_idct_16x8	43.220s	161,024,000,000	532,912,000,000	0.302	73.2%	3.7%	5.4%	0.3%	0.0%	0.0%	26.5%	0.0%	0.0%	0.0%	0.1%	17.0%	3.7 GHz	[Unknown]	jpeg_idct_16x8	[Unknown]	0
prepare_exit_to_usermode	41.165s	150,336,000,000	11,696,000,000	12.854	11.6%	15.0%	0.0%	0.4%	0.8%	0.3%	1.7%	0.0%	0.0%	0.0%	0.0%	66.0%	3.7 GHz	[Unknown]	prepare_exit_to_usermode	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>	35.860s	134,272,000,000	132,400,000,000	1.014	24.6%	0.7%	0.4%	6.7%	20.9%	7.6%	94.3%	0.0%	0.0%	0.0%	36.5%	16.2%	3.7 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>(long, char**, long const*, long, long)	[Unknown]	0
ImagingPackRGB	32.970s	120,048,000,000	438,352,000,000	0.274	75.8%	5.2%	0.7%	0.0%	1.1%	0.2%	37.2%	0.0%	0.0%	0.0%	0.5%	16.7%	3.6 GHz	[Unknown]	ImagingPackRGB	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>	32.675s	110,736,000,000	110,064,000,000	1.006	28.6%	18.5%	0.0%	1.4%	12.9%	23.6%	94.7%	3.6%	0.0%	0.0%	3.4%	20.9%	3.4 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
_Py_DECREF	30.150s	95,616,000,000	75,472,000,000	1.267	20.1%	47.8%	22.8%	7.5%	3.8%	17.6%	25.6%	0.0%	3.5%	0.0%	1.6%	2.4%	3.2 GHz	[Unknown]	_Py_DECREF	object.h	0
zap_pte_range.isra.0	29.895s	65,408,000,000	52,368,000,000	1.249	24.6%	8.1%	0.0%	2.5%	6.9%	0.5%	2.1%	60.0%	23.2%	0.0%	0.0%	4.4%	2.2 GHz	[Unknown]	zap_pte_range.isra.0	[Unknown]	0
__memset_avx2_unaligned_erms	27.590s	98,496,000,000	179,904,000,000	0.547	41.2%	26.7%	19.2%	3.8%	0.3%	0.0%	14.3%	0.0%	0.0%	0.0%	3.7%	10.0%	3.6 GHz	[Unknown]	__memset_avx2_unaligned_erms	memset-vec-unaligned-erms.S	0
func@0x159f20	24.960s	85,296,000,000	190,096,000,000	0.449	64.2%	0.9%	0.0%	6.2%	7.6%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	27.7%	3.4 GHz	[Unknown]	func@0x159f20	[Unknown]	0
mem_cgroup_try_charge	24.165s	84,464,000,000	8,736,000,000	9.668	2.6%	0.4%	2.6%	4.4%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	91.8%	43.5%	3.5 GHz	[Unknown]	mem_cgroup_try_charge	[Unknown]	0
copy_user_enhanced_fast_string	22.055s	67,088,000,000	2,416,000,000	27.768	7.3%	1.3%	0.0%	2.2%	0.9%	6.1%	82.7%	89.3%	100.0%	100.0%	41.8%	8.7%	3.0 GHz	[Unknown]	copy_user_enhanced_fast_string	[Unknown]	0
func@0x4e0d70	19.960s	60,816,000,000	45,024,000,000	1.351	26.1%	2.0%	32.3%	0.0%	0.0%	0.0%	0.2%	0.0%	0.0%	0.0%	0.0%	39.7%	3.0 GHz	[Unknown]	func@0x4e0d70	[Unknown]	0
ImagingFlipLeftRight	19.960s	70,816,000,000	287,008,000,000	0.247	93.5%	0.5%	2.1%	0.6%	0.2%	0.4%	37.1%	0.0%	0.0%	0.0%	1.1%	3.5%	3.5 GHz	[Unknown]	ImagingFlipLeftRight	[Unknown]	0
_Py_INCREF	19.285s	53,680,000,000	33,152,000,000	1.619	18.7%	42.0%	15.7%	7.0%	0.0%	29.0%	33.5%	33.7%	0.0%	0.0%	7.3%	4.5%	2.8 GHz	[Unknown]	_Py_INCREF	object.h	0
clock_gettime	18.730s	57,040,000,000	119,200,000,000	0.479	56.8%	0.1%	0.0%	15.8%	0.0%	0.0%	0.3%	0.0%	0.0%	0.0%	0.0%	48.9%	3.0 GHz	[Unknown]	clock_gettime	[Unknown]	0
_int_malloc	17.815s	65,696,000,000	28,448,000,000	2.309	9.8%	37.5%	15.0%	7.5%	9.1%	29.3%	29.2%	3.0%	0.0%	0.0%	0.0%	11.2%	3.7 GHz	[Unknown]	_int_malloc	malloc.c	0
swapgs_restore_regs_and_return_to_usermode	15.390s	52,544,000,000	10,832,000,000	4.851	14.3%	19.7%	1.6%	4.3%	2.3%	0.0%	2.0%	0.0%	0.0%	0.0%	0.0%	54.6%	3.4 GHz	[Unknown]	swapgs_restore_regs_and_return_to_usermode	[Unknown]	0
error_entry	14.655s	52,304,000,000	10,864,000,000	4.814	14.8%	9.7%	0.8%	0.0%	1.4%	0.0%	6.3%	0.0%	0.0%	0.0%	0.0%	74.7%	3.6 GHz	[Unknown]	error_entry	[Unknown]	0
rmqueue	12.905s	44,864,000,000	55,136,000,000	0.814	35.7%	6.4%	0.0%	11.4%	0.0%	2.9%	18.4%	64.4%	33.3%	0.0%	53.5%	14.2%	3.5 GHz	[Unknown]	rmqueue	[Unknown]	0
__handle_mm_fault	12.865s	46,320,000,000	67,808,000,000	0.683	48.7%	36.6%	11.7%	7.8%	0.0%	3.6%	2.9%	0.0%	0.0%	0.0%	0.0%	2.0%	3.6 GHz	[Unknown]	__handle_mm_fault	[Unknown]	0
pymalloc_alloc	12.575s	37,856,000,000	21,072,000,000	1.797	14.3%	46.4%	15.3%	6.7%	13.5%	22.1%	26.2%	12.3%	0.0%	0.0%	2.0%	1.0%	3.0 GHz	[Unknown]	pymalloc_alloc	obmalloc.c	0
filemap_map_pages	11.560s	35,984,000,000	23,616,000,000	1.524	14.8%	4.2%	6.6%	20.4%	0.0%	1.1%	30.4%	100.0%	68.8%	44.4%	0.0%	16.2%	3.1 GHz	[Unknown]	filemap_map_pages	[Unknown]	0
xas_load	11.520s	39,312,000,000	39,760,000,000	0.989	31.0%	15.7%	1.2%	2.7%	9.5%	2.2%	19.5%	39.6%	12.3%	0.0%	9.2%	0.0%	3.4 GHz	[Unknown]	xas_load	[Unknown]	0
release_pages	11.435s	29,376,000,000	52,368,000,000	0.561	36.0%	23.5%	9.8%	23.0%	2.0%	0.5%	3.6%	0.0%	0.0%	0.0%	0.0%	18.0%	2.6 GHz	[Unknown]	release_pages	[Unknown]	0
func@0x36a860	11.210s	37,648,000,000	44,768,000,000	0.841	31.3%	2.0%	47.1%	5.6%	0.0%	1.2%	2.8%	0.0%	0.0%	0.0%	0.0%	24.9%	3.4 GHz	[Unknown]	func@0x36a860	[Unknown]	0
get_mem_cgroup_from_mm	11.150s	41,072,000,000	8,544,000,000	4.807	4.1%	1.5%	1.0%	85.8%	5.1%	1.5%	1.1%	0.0%	0.0%	0.0%	92.0%	0.0%	3.7 GHz	[Unknown]	get_mem_cgroup_from_mm	[Unknown]	0
mark_page_accessed	11.005s	23,312,000,000	19,456,000,000	1.198	24.9%	29.8%	24.4%	19.9%	0.6%	0.0%	3.2%	0.0%	0.0%	0.0%	0.0%	9.6%	2.1 GHz	[Unknown]	mark_page_accessed	[Unknown]	0
try_charge	10.890s	41,680,000,000	17,824,000,000	2.338	14.8%	1.3%	0.0%	13.3%	0.7%	2.2%	0.4%	0.0%	0.0%	0.0%	62.3%	42.5%	3.8 GHz	[Unknown]	try_charge	[Unknown]	0
lookdict_unicode_nodummy	10.755s	31,904,000,000	19,408,000,000	1.644	15.1%	41.5%	21.4%	10.3%	2.4%	25.3%	26.3%	10.8%	0.0%	0.0%	2.4%	4.4%	3.0 GHz	[Unknown]	lookdict_unicode_nodummy	dictobject.c	0
_PyType_Lookup	10.375s	32,224,000,000	35,568,000,000	0.906	31.6%	38.9%	9.7%	22.8%	0.0%	25.3%	47.0%	11.0%	0.0%	0.0%	1.4%	6.8%	3.1 GHz	[Unknown]	_PyType_Lookup	typeobject.c	0
__mod_lruvec_state	10.300s	28,432,000,000	41,408,000,000	0.687	40.5%	16.4%	1.5%	13.2%	0.0%	7.4%	6.3%	0.0%	0.0%	0.0%	0.0%	25.5%	2.8 GHz	[Unknown]	__mod_lruvec_state	[Unknown]	0
mem_cgroup_try_charge_delay	9.965s	31,776,000,000	7,168,000,000	4.433	6.7%	0.6%	0.0%	2.8%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	100.0%	47.8%	3.2 GHz	[Unknown]	mem_cgroup_try_charge_delay	[Unknown]	0
func@0x291e70	9.390s	27,104,000,000	63,104,000,000	0.430	57.9%	5.0%	0.0%	12.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	74.9%	2.9 GHz	[Unknown]	func@0x291e70	[Unknown]	0
__mod_memcg_state	9.210s	22,704,000,000	38,784,000,000	0.585	43.8%	23.9%	16.3%	19.8%	2.0%	3.3%	5.9%	0.0%	0.0%	0.0%	1.3%	7.4%	2.5 GHz	[Unknown]	__mod_memcg_state	[Unknown]	0
precompute_coeffs	9.135s	28,512,000,000	76,816,000,000	0.371	53.2%	4.2%	4.2%	5.3%	0.0%	0.0%	26.8%	0.0%	0.0%	0.0%	1.1%	34.4%	3.1 GHz	[Unknown]	precompute_coeffs	[Unknown]	0
_int_free	8.650s	26,624,000,000	29,632,000,000	0.898	23.7%	45.7%	5.4%	17.5%	0.0%	27.6%	35.5%	0.0%	0.0%	0.0%	0.6%	5.2%	3.1 GHz	[Unknown]	_int_free	malloc.c	0
_PyEval_MakeFrameVector	8.495s	23,440,000,000	15,456,000,000	1.517	16.6%	39.7%	14.5%	2.6%	2.6%	28.1%	38.4%	32.1%	0.0%	0.0%	25.6%	5.8%	2.8 GHz	[Unknown]	_PyEval_MakeFrameVector	ceval.c	0
change_pte_range	8.285s	30,800,000,000	11,136,000,000	2.766	7.7%	1.0%	3.1%	3.9%	0.0%	0.0%	62.8%	100.0%	100.0%	0.0%	0.0%	3.6%	3.7 GHz	[Unknown]	change_pte_range	[Unknown]	0
__GI___pthread_mutex_lock	7.980s	22,640,000,000	18,704,000,000	1.210	18.3%	65.9%	16.8%	23.2%	0.0%	16.6%	41.7%	15.6%	0.0%	0.0%	1.3%	0.0%	2.8 GHz	[Unknown]	__GI___pthread_mutex_lock	pthread_mutex_lock.c	0
do_syscall_64	7.955s	18,608,000,000	2,000,000,000	9.304	10.9%	14.2%	0.0%	0.0%	4.8%	4.6%	22.6%	0.0%	0.0%	0.0%	0.0%	15.9%	2.3 GHz	[Unknown]	do_syscall_64	[Unknown]	0
free_pcppages_bulk	7.760s	28,608,000,000	38,848,000,000	0.736	30.7%	5.3%	1.8%	14.2%	0.0%	2.1%	7.3%	100.0%	91.7%	0.0%	0.5%	4.7%	3.7 GHz	[Unknown]	free_pcppages_bulk	[Unknown]	0
sep_upsample	7.505s	23,536,000,000	59,952,000,000	0.393	64.3%	26.5%	6.9%	6.4%	0.0%	0.6%	15.9%	0.0%	0.0%	0.0%	1.9%	1.8%	3.1 GHz	[Unknown]	sep_upsample	[Unknown]	0
__mod_node_page_state	7.370s	25,824,000,000	42,128,000,000	0.613	42.8%	21.9%	13.1%	12.2%	1.7%	1.2%	0.6%	0.0%	0.0%	0.0%	0.0%	11.7%	3.5 GHz	[Unknown]	__mod_node_page_state	[Unknown]	0
__activate_page	7.360s	26,432,000,000	37,008,000,000	0.714	33.7%	5.1%	7.7%	20.4%	0.0%	0.6%	1.7%	0.0%	0.0%	0.0%	6.8%	30.0%	3.6 GHz	[Unknown]	__activate_page	[Unknown]	0
__GI___libc_malloc	7.330s	21,152,000,000	14,096,000,000	1.501	16.7%	64.3%	5.5%	31.9%	4.3%	12.1%	28.4%	0.0%	0.0%	0.0%	1.4%	2.7%	2.9 GHz	[Unknown]	__GI___libc_malloc	malloc.c	0
_dl_update_slotinfo	7.170s	25,552,000,000	40,112,000,000	0.637	31.8%	50.4%	14.3%	0.0%	1.8%	7.6%	23.5%	0.0%	0.0%	0.0%	1.2%	2.6%	3.6 GHz	[Unknown]	_dl_update_slotinfo	dl-tls.c	0
handle_mm_fault	7.030s	26,160,000,000	34,688,000,000	0.754	53.6%	15.6%	0.0%	27.5%	1.1%	0.0%	1.1%	7.3%	0.0%	0.0%	0.0%	18.9%	3.7 GHz	[Unknown]	handle_mm_fault	[Unknown]	0
lookdict_unicode	6.960s	20,464,000,000	11,904,000,000	1.719	13.0%	44.7%	23.5%	12.5%	1.5%	33.0%	27.1%	0.0%	0.0%	0.0%	1.5%	5.5%	2.9 GHz	[Unknown]	lookdict_unicode	dictobject.c	0
PyObject_GetAttr	6.835s	22,480,000,000	13,120,000,000	1.713	15.6%	30.6%	24.5%	0.0%	19.4%	28.7%	43.4%	0.0%	0.0%	0.0%	2.7%	14.9%	3.3 GHz	[Unknown]	PyObject_GetAttr	object.c	0
__pagevec_lru_add_fn	6.645s	22,576,000,000	36,752,000,000	0.614	55.7%	49.0%	15.9%	31.2%	0.0%	0.0%	3.3%	0.0%	0.0%	0.0%	0.0%	0.0%	3.4 GHz	[Unknown]	__pagevec_lru_add_fn	[Unknown]	0
page_remove_rmap	6.570s	13,328,000,000	27,312,000,000	0.488	54.6%	7.4%	1.6%	9.0%	0.0%	0.0%	1.1%	0.0%	0.0%	0.0%	0.0%	32.2%	2.0 GHz	[Unknown]	page_remove_rmap	[Unknown]	0
_PyObject_GetMethod	6.400s	20,352,000,000	13,168,000,000	1.546	21.6%	36.8%	13.3%	2.9%	0.0%	28.5%	41.3%	0.0%	0.0%	0.0%	0.7%	15.6%	3.2 GHz	[Unknown]	_PyObject_GetMethod	object.c	0
jpeg_make_d_derived_tbl	6.235s	18,816,000,000	15,952,000,000	1.180	16.1%	20.4%	17.0%	5.6%	0.0%	0.0%	1.6%	0.0%	0.0%	0.0%	5.6%	32.3%	3.0 GHz	[Unknown]	jpeg_make_d_derived_tbl	[Unknown]	0
_PyObject_GenericGetAttrWithDict	6.150s	19,552,000,000	21,952,000,000	0.891	25.5%	32.1%	2.5%	2.3%	0.0%	27.6%	23.8%	24.9%	0.0%	0.0%	0.8%	22.2%	3.2 GHz	[Unknown]	_PyObject_GenericGetAttrWithDict	object.c	0
__tls_get_addr	6.140s	20,672,000,000	18,512,000,000	1.117	22.6%	64.0%	9.1%	8.7%	0.7%	16.0%	31.9%	0.0%	0.0%	0.0%	0.0%	2.7%	3.4 GHz	[Unknown]	__tls_get_addr	tls_get_addr.S	0
PyType_IsSubtype	6.105s	21,872,000,000	11,872,000,000	1.842	14.1%	63.1%	10.9%	7.5%	0.0%	32.2%	22.6%	0.0%	0.0%	0.0%	0.0%	4.2%	3.6 GHz	[Unknown]	PyType_IsSubtype	typeobject.c	0
func@0x175ac0	6.090s	18,496,000,000	19,104,000,000	0.968	32.1%	1.7%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	89.3%	3.0 GHz	[Unknown]	func@0x175ac0	[Unknown]	0
__pthread_mutex_unlock_usercnt	6.090s	15,776,000,000	17,936,000,000	0.880	33.2%	62.8%	2.2%	27.6%	1.9%	0.0%	28.5%	0.0%	0.0%	0.0%	0.0%	0.8%	2.6 GHz	[Unknown]	__pthread_mutex_unlock_usercnt	pthread_mutex_unlock.c	0
c10::impl::OperatorEntry::lookup	5.860s	17,424,000,000	15,136,000,000	1.151	22.1%	62.6%	10.8%	8.6%	5.2%	18.6%	37.9%	10.2%	0.0%	0.0%	0.0%	1.4%	3.0 GHz	[Unknown]	c10::impl::OperatorEntry::lookup(c10::DispatchKeySet) const	[Unknown]	0
jpeg_idct_8x16	5.550s	20,592,000,000	67,376,000,000	0.306	83.6%	0.4%	0.0%	1.5%	0.0%	0.0%	19.7%	0.0%	0.0%	0.0%	0.7%	28.8%	3.7 GHz	[Unknown]	jpeg_idct_8x16	[Unknown]	0
frame_dealloc	5.485s	18,576,000,000	17,152,000,000	1.083	18.6%	33.3%	18.4%	10.5%	1.6%	10.5%	19.4%	0.0%	0.0%	0.0%	0.0%	11.6%	3.4 GHz	[Unknown]	frame_dealloc	frameobject.c	0
_PyObject_VectorcallTstate	5.200s	17,024,000,000	14,592,000,000	1.167	15.7%	34.0%	8.0%	7.0%	6.2%	0.0%	24.7%	0.0%	0.0%	0.0%	7.9%	20.7%	3.3 GHz	[Unknown]	_PyObject_VectorcallTstate	abstract.h	0
