Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	2648.443s	6,335,216,000,000	10,622,896,000,000	0.596	40.7%	8.3%	41.6%	16.7%	0.2%	0.1%	35.6%	0.0%	0.0%	0.0%	0.0%	5.9%	2.4 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	2067.762s	4,948,624,000,000	13,991,232,000,000	0.354	69.5%	2.7%	6.2%	1.9%	0.0%	0.0%	33.4%	0.0%	0.1%	0.0%	0.1%	20.3%	2.4 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	799.221s	2,172,528,000,000	8,265,456,000,000	0.263	90.8%	2.3%	0.1%	0.7%	0.0%	0.1%	28.4%	0.0%	0.0%	0.0%	0.0%	6.3%	2.7 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	732.101s	1,828,864,000,000	6,330,752,000,000	0.289	85.6%	0.3%	0.0%	0.1%	0.0%	0.0%	32.2%	0.0%	0.3%	0.0%	0.1%	15.3%	2.5 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	565.856s	1,491,472,000,000	5,568,752,000,000	0.268	88.6%	0.2%	3.0%	0.7%	0.0%	0.2%	23.5%	0.0%	0.0%	0.0%	0.0%	7.8%	2.6 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	510.600s	1,235,504,000,000	1,428,224,000,000	0.865	27.2%	13.6%	51.8%	6.3%	0.2%	0.1%	34.7%	0.0%	0.0%	0.0%	0.0%	6.1%	2.4 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
jpeg_idct_16x16	297.655s	775,600,000,000	2,707,328,000,000	0.286	86.7%	1.0%	2.2%	0.5%	0.0%	0.0%	26.7%	0.0%	0.0%	0.0%	0.2%	9.7%	2.6 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
__memmove_avx_unaligned_erms	240.930s	690,240,000,000	178,160,000,000	3.874	8.5%	1.6%	0.3%	20.7%	14.1%	32.1%	72.8%	27.8%	0.0%	0.0%	79.8%	9.0%	2.9 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	240.795s	592,432,000,000	155,600,000,000	3.807	6.1%	0.8%	0.0%	11.5%	17.0%	12.9%	82.1%	100.0%	100.0%	3.0%	94.5%	4.3%	2.5 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
decompress_onepass	198.625s	490,976,000,000	1,008,272,000,000	0.487	52.7%	4.8%	20.5%	3.1%	0.0%	0.1%	32.0%	0.0%	0.0%	0.0%	0.2%	18.9%	2.5 GHz	[Unknown]	decompress_onepass	[Unknown]	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	188.815s	532,384,000,000	212,912,000,000	2.500	13.4%	0.3%	0.0%	20.7%	16.3%	6.3%	89.3%	0.0%	0.0%	0.0%	5.6%	39.8%	2.8 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
ImagingUnpackRGB	187.825s	465,840,000,000	1,949,504,000,000	0.239	85.8%	5.5%	0.6%	0.4%	0.1%	0.0%	31.2%	0.0%	0.0%	0.0%	0.6%	7.4%	2.5 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
func@0x3fd7b0	177.130s	590,816,000,000	1,865,088,000,000	0.317	69.2%	0.6%	1.0%	1.7%	0.0%	0.0%	11.2%	0.0%	0.0%	0.0%	0.0%	27.5%	3.3 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
clear_page_erms	123.035s	410,704,000,000	22,672,000,000	18.115	7.3%	1.1%	0.0%	0.0%	0.0%	0.0%	2.0%	0.0%	0.0%	0.0%	94.9%	44.9%	3.3 GHz	[Unknown]	clear_page_erms	[Unknown]	0
_PyEval_EvalFrameDefault	122.370s	284,112,000,000	272,928,000,000	1.041	21.6%	37.5%	20.9%	5.2%	4.3%	18.1%	28.1%	5.5%	2.8%	0.9%	2.5%	6.6%	2.3 GHz	[Unknown]	_PyEval_EvalFrameDefault	ceval.c	0
