Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1802.482s	6,328,624,000,000	10,458,432,000,000	0.605	40.6%	8.1%	41.6%	17.0%	0.2%	0.1%	12.1%	0.0%	0.0%	0.0%	0.0%	6.0%	3.5 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1431.411s	4,980,864,000,000	13,731,376,000,000	0.363	69.9%	2.6%	6.5%	1.9%	0.0%	0.0%	10.4%	0.0%	0.0%	0.0%	0.1%	19.6%	3.5 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	630.766s	2,188,144,000,000	8,406,528,000,000	0.260	89.3%	1.6%	1.1%	0.7%	0.1%	0.1%	14.0%	0.3%	0.0%	0.3%	0.1%	7.5%	3.5 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	513.530s	1,793,088,000,000	6,311,632,000,000	0.284	85.1%	0.4%	0.3%	0.2%	0.0%	0.0%	10.9%	0.0%	0.0%	0.0%	0.1%	13.3%	3.5 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	435.450s	1,526,080,000,000	5,913,840,000,000	0.258	86.3%	0.2%	0.0%	0.7%	0.0%	0.3%	8.7%	0.3%	0.0%	0.0%	0.1%	13.0%	3.5 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	349.905s	1,236,496,000,000	1,431,328,000,000	0.864	26.8%	14.3%	53.1%	6.4%	0.1%	0.1%	11.4%	0.0%	0.0%	0.0%	0.0%	4.7%	3.5 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	226.090s	700,368,000,000	176,928,000,000	3.958	4.9%	0.6%	0.1%	10.2%	15.1%	13.3%	76.8%	100.0%	100.0%	0.0%	91.8%	4.8%	3.1 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
__memmove_avx_unaligned_erms	224.730s	779,376,000,000	175,952,000,000	4.429	7.7%	1.7%	0.6%	21.9%	12.8%	30.3%	67.3%	29.6%	3.0%	0.0%	80.9%	9.5%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	221.715s	782,112,000,000	2,658,640,000,000	0.294	83.6%	0.5%	0.0%	0.5%	0.0%	0.0%	9.9%	0.0%	0.0%	0.0%	0.5%	15.3%	3.5 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	160.055s	546,128,000,000	247,696,000,000	2.205	13.8%	0.4%	0.1%	26.1%	10.5%	7.9%	88.8%	0.0%	0.0%	0.0%	9.9%	40.5%	3.4 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
