Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
precompute_coeffs	9.705s	28,560,000,000	74,576,000,000	0.383	69.4%	4.7%	0.5%	4.7%	1.1%	0.0%	15.2%	0.0%	0.0%	0.0%	6.3%	20.9%	2.9 GHz	[Unknown]	precompute_coeffs	[Unknown]	0
__mod_node_page_state	8.940s	26,512,000,000	43,328,000,000	0.612	57.9%	27.2%	15.3%	11.9%	1.7%	1.7%	2.8%	0.0%	0.0%	0.0%	0.0%	0.0%	3.0 GHz	[Unknown]	__mod_node_page_state	[Unknown]	0
__mod_memcg_state	8.900s	28,208,000,000	38,944,000,000	0.724	38.8%	26.7%	15.7%	18.1%	2.7%	3.7%	5.8%	0.0%	0.0%	0.0%	1.1%	12.2%	3.2 GHz	[Unknown]	__mod_memcg_state	[Unknown]	0
__GI___libc_malloc	8.880s	24,800,000,000	14,352,000,000	1.728	13.6%	64.9%	5.6%	42.9%	0.0%	21.2%	26.6%	0.0%	0.0%	0.0%	2.4%	1.3%	2.8 GHz	[Unknown]	__GI___libc_malloc	malloc.c	0
change_pte_range	8.795s	27,856,000,000	12,880,000,000	2.163	8.1%	0.5%	0.0%	0.5%	0.0%	0.0%	91.5%	100.0%	100.0%	0.0%	0.0%	9.2%	3.2 GHz	[Unknown]	change_pte_range	[Unknown]	0
__mod_lruvec_state	8.695s	27,184,000,000	37,808,000,000	0.719	45.7%	16.4%	8.6%	24.8%	0.0%	9.9%	5.0%	0.0%	0.0%	0.0%	0.0%	8.9%	3.1 GHz	[Unknown]	__mod_lruvec_state	[Unknown]	0
mem_cgroup_try_charge_delay	8.575s	33,168,000,000	5,552,000,000	5.974	4.0%	1.2%	0.0%	2.3%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	92.7%	50.9%	3.9 GHz	[Unknown]	mem_cgroup_try_charge_delay	[Unknown]	0
handle_mm_fault	8.355s	25,568,000,000	34,080,000,000	0.750	51.4%	15.0%	0.0%	26.4%	0.0%	0.6%	0.6%	0.0%	0.0%	0.0%	0.0%	26.6%	3.1 GHz	[Unknown]	handle_mm_fault	[Unknown]	0
__tls_get_addr	7.880s	20,944,000,000	23,152,000,000	0.905	27.9%	73.4%	10.4%	15.8%	4.3%	12.9%	40.1%	17.9%	0.0%	0.0%	0.7%	0.0%	2.7 GHz	[Unknown]	__tls_get_addr	tls_get_addr.S	0
do_syscall_64	7.790s	23,376,000,000	1,584,000,000	14.758	7.7%	22.9%	7.7%	7.1%	0.6%	11.6%	25.0%	8.8%	0.0%	0.0%	0.0%	23.1%	3.0 GHz	[Unknown]	do_syscall_64	[Unknown]	0
__activate_page	7.670s	24,480,000,000	34,704,000,000	0.705	60.8%	13.7%	0.0%	22.7%	0.0%	0.0%	3.7%	0.0%	0.0%	0.0%	15.3%	9.0%	3.2 GHz	[Unknown]	__activate_page	[Unknown]	0
_dl_update_slotinfo	7.525s	28,704,000,000	36,256,000,000	0.792	32.9%	42.0%	11.7%	8.4%	0.0%	7.3%	25.6%	0.0%	0.0%	0.0%	1.6%	6.9%	3.8 GHz	[Unknown]	_dl_update_slotinfo	dl-tls.c	0
PyObject_GetAttr	7.460s	30,064,000,000	14,000,000,000	2.147	10.1%	13.3%	10.7%	0.0%	8.0%	19.8%	33.4%	0.0%	0.0%	0.0%	1.5%	12.2%	4.0 GHz	[Unknown]	PyObject_GetAttr	object.c	0
_PyObject_GetMethod	7.280s	22,928,000,000	13,984,000,000	1.640	20.1%	33.5%	13.1%	9.2%	3.9%	26.8%	35.3%	0.0%	0.0%	0.0%	0.0%	6.6%	3.1 GHz	[Unknown]	_PyObject_GetMethod	object.c	0
__pthread_mutex_unlock_usercnt	7.225s	21,424,000,000	26,880,000,000	0.797	29.3%	47.3%	0.8%	35.7%	0.7%	0.0%	36.4%	0.0%	0.0%	0.0%	2.8%	9.8%	3.0 GHz	[Unknown]	__pthread_mutex_unlock_usercnt	pthread_mutex_unlock.c	0
lookdict_unicode	7.205s	24,928,000,000	11,920,000,000	2.091	10.7%	29.2%	21.6%	1.8%	0.0%	33.0%	44.5%	16.8%	0.0%	0.0%	1.2%	11.9%	3.5 GHz	[Unknown]	lookdict_unicode	dictobject.c	0
_PyEval_MakeFrameVector	7.185s	29,168,000,000	16,992,000,000	1.717	14.5%	29.7%	21.9%	11.8%	1.5%	15.3%	27.3%	100.0%	0.0%	0.0%	24.7%	2.7%	4.1 GHz	[Unknown]	_PyEval_MakeFrameVector	ceval.c	0
free_pcppages_bulk	7.090s	26,960,000,000	40,144,000,000	0.672	29.9%	6.0%	0.0%	10.0%	6.1%	1.2%	14.5%	100.0%	0.0%	0.0%	2.2%	0.0%	3.8 GHz	[Unknown]	free_pcppages_bulk	[Unknown]	0
_PyObject_GenericGetAttrWithDict	7.080s	20,784,000,000	25,152,000,000	0.826	25.6%	40.7%	15.2%	0.0%	0.0%	19.4%	24.5%	22.3%	0.0%	0.0%	5.8%	11.8%	2.9 GHz	[Unknown]	_PyObject_GenericGetAttrWithDict	object.c	0
torch::FunctionSignature::parse	6.955s	18,496,000,000	7,616,000,000	2.429	9.9%	76.5%	18.0%	10.5%	0.8%	28.4%	47.0%	9.4%	0.0%	0.0%	0.0%	0.0%	2.7 GHz	[Unknown]	torch::FunctionSignature::parse(_object*, _object*, _object*, _object**, bool)	[Unknown]	0
PyType_IsSubtype	6.840s	24,208,000,000	12,704,000,000	1.906	9.2%	58.6%	15.7%	3.1%	4.3%	30.4%	34.1%	0.0%	0.0%	0.0%	1.2%	5.7%	3.5 GHz	[Unknown]	PyType_IsSubtype	typeobject.c	0
jpeg_idct_8x16	6.605s	20,320,000,000	64,064,000,000	0.317	100.0%	0.6%	0.0%	0.7%	0.0%	0.0%	20.7%	0.0%	0.0%	0.0%	0.0%	0.2%	3.1 GHz	[Unknown]	jpeg_idct_8x16	[Unknown]	0
c10::impl::OperatorEntry::lookup	6.605s	21,456,000,000	16,368,000,000	1.311	19.7%	60.5%	10.4%	12.6%	0.0%	30.8%	45.4%	9.9%	30.6%	0.0%	0.7%	4.1%	3.2 GHz	[Unknown]	c10::impl::OperatorEntry::lookup(c10::DispatchKeySet) const	[Unknown]	0
__pagevec_lru_add_fn	6.585s	28,768,000,000	35,216,000,000	0.817	34.8%	33.0%	14.1%	21.4%	1.0%	0.0%	1.6%	0.0%	0.0%	0.0%	1.0%	10.4%	4.4 GHz	[Unknown]	__pagevec_lru_add_fn	[Unknown]	0
sep_upsample	6.265s	24,752,000,000	67,232,000,000	0.368	59.6%	25.7%	6.2%	4.2%	0.6%	1.2%	10.9%	0.0%	0.0%	0.0%	1.8%	7.5%	4.0 GHz	[Unknown]	sep_upsample	[Unknown]	0
page_remove_rmap	6.115s	11,296,000,000	26,064,000,000	0.433	77.4%	9.0%	0.0%	19.9%	0.0%	0.0%	2.7%	0.0%	0.0%	0.0%	0.0%	21.7%	1.8 GHz	[Unknown]	page_remove_rmap	[Unknown]	0
