Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1861.917s	6,255,136,000,000	10,648,032,000,000	0.587	40.9%	8.5%	42.4%	17.3%	0.2%	0.1%	14.1%	0.1%	0.0%	0.0%	0.0%	5.0%	3.4 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1459.441s	4,905,552,000,000	13,844,816,000,000	0.354	69.7%	2.7%	6.4%	1.8%	0.0%	0.0%	12.4%	0.0%	0.1%	0.0%	0.1%	19.9%	3.4 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	651.356s	2,227,824,000,000	8,292,256,000,000	0.269	88.3%	1.7%	0.0%	0.8%	0.1%	0.1%	15.6%	0.2%	0.0%	0.0%	0.1%	9.3%	3.4 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	528.801s	1,811,408,000,000	6,322,240,000,000	0.287	84.4%	0.4%	0.0%	0.3%	0.0%	0.0%	12.4%	0.0%	0.0%	0.0%	0.1%	14.5%	3.4 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	457.325s	1,520,992,000,000	5,525,088,000,000	0.275	86.2%	0.3%	1.7%	1.0%	0.0%	0.3%	10.4%	0.0%	0.0%	0.0%	0.1%	11.0%	3.3 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	352.385s	1,207,360,000,000	1,442,288,000,000	0.837	27.9%	14.9%	54.2%	7.0%	0.1%	0.1%	14.4%	0.2%	0.0%	0.0%	0.0%	2.4%	3.4 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	233.860s	649,040,000,000	155,216,000,000	4.182	5.1%	0.8%	0.3%	11.5%	13.1%	12.9%	76.4%	100.0%	88.3%	0.5%	90.2%	5.3%	2.8 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
__memmove_avx_unaligned_erms	228.925s	798,624,000,000	170,384,000,000	4.687	7.5%	2.1%	0.1%	19.9%	11.9%	31.6%	67.6%	29.3%	1.0%	0.0%	76.3%	9.7%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	225.185s	775,088,000,000	2,655,872,000,000	0.292	81.2%	1.2%	2.7%	0.6%	0.0%	0.0%	11.1%	0.0%	0.0%	0.0%	0.6%	13.9%	3.4 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	163.475s	559,808,000,000	221,568,000,000	2.527	13.5%	0.3%	0.0%	23.7%	13.0%	6.9%	88.8%	0.0%	0.0%	0.0%	9.4%	39.3%	3.4 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
