Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1200.671s	4,137,200,000,000	6,889,520,000,000	0.601	40.6%	8.1%	40.8%	17.1%	0.2%	0.1%	18.6%	0.0%	0.0%	0.0%	0.0%	6.5%	3.4 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	948.686s	3,245,360,000,000	9,071,856,000,000	0.358	68.5%	2.6%	6.2%	1.8%	0.0%	0.0%	17.2%	0.0%	0.0%	0.0%	0.2%	21.3%	3.4 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	413.590s	1,427,616,000,000	5,401,328,000,000	0.264	89.8%	1.2%	0.8%	0.9%	0.0%	0.1%	16.4%	0.0%	0.0%	0.0%	0.0%	7.7%	3.5 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	342.715s	1,167,104,000,000	4,166,912,000,000	0.280	86.0%	0.4%	1.4%	0.2%	0.0%	0.0%	17.2%	0.0%	0.0%	0.0%	0.0%	11.3%	3.4 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	288.125s	985,936,000,000	3,655,200,000,000	0.270	87.0%	0.2%	0.5%	0.9%	0.1%	0.2%	9.7%	0.6%	0.0%	0.0%	0.0%	11.6%	3.4 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	232.875s	819,328,000,000	969,680,000,000	0.845	26.1%	14.0%	50.7%	7.0%	0.0%	0.1%	19.2%	0.0%	0.0%	0.0%	0.0%	7.3%	3.5 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	205.865s	617,328,000,000	119,712,000,000	5.157	4.8%	0.6%	0.0%	8.8%	13.1%	12.7%	77.8%	100.0%	100.0%	1.7%	90.1%	5.2%	3.0 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
func@0x3fd7b0	192.285s	706,176,000,000	2,006,448,000,000	0.352	64.1%	0.5%	2.7%	3.8%	0.3%	0.0%	4.9%	0.0%	0.0%	0.0%	0.0%	29.2%	3.7 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
jpeg_idct_16x16	142.250s	499,008,000,000	1,763,872,000,000	0.283	88.8%	1.1%	2.0%	0.3%	0.0%	0.0%	15.5%	0.0%	0.0%	0.0%	0.3%	7.8%	3.5 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
__memmove_avx_unaligned_erms	138.120s	476,720,000,000	115,712,000,000	4.120	8.2%	1.8%	0.0%	20.6%	14.4%	31.2%	70.3%	21.0%	5.1%	0.0%	80.0%	10.0%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
