Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1832.272s	6,277,104,000,000	10,504,208,000,000	0.598	41.3%	8.3%	42.8%	17.0%	0.2%	0.1%	13.8%	0.0%	0.0%	0.0%	0.0%	4.7%	3.4 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1422.911s	4,943,296,000,000	13,640,320,000,000	0.362	70.6%	2.7%	6.4%	1.9%	0.0%	0.0%	12.0%	0.0%	0.0%	0.0%	0.1%	19.0%	3.5 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	626.666s	2,218,864,000,000	8,412,176,000,000	0.264	88.9%	1.5%	1.6%	0.6%	0.1%	0.1%	15.9%	0.0%	0.0%	0.0%	0.0%	7.7%	3.5 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	517.995s	1,828,736,000,000	6,331,328,000,000	0.289	84.9%	0.5%	0.0%	0.2%	0.1%	0.0%	12.1%	0.0%	0.0%	0.0%	0.1%	14.2%	3.5 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	451.165s	1,511,840,000,000	5,926,496,000,000	0.255	87.6%	0.2%	0.0%	1.0%	0.0%	0.3%	9.9%	0.0%	0.0%	0.0%	0.1%	13.3%	3.4 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	355.080s	1,220,528,000,000	1,462,448,000,000	0.835	27.6%	14.0%	52.4%	6.9%	0.1%	0.1%	14.2%	0.0%	0.0%	0.0%	0.0%	4.9%	3.4 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	233.355s	625,584,000,000	183,216,000,000	3.414	5.8%	0.7%	0.0%	11.2%	14.0%	14.2%	81.4%	100.0%	100.0%	1.1%	94.8%	4.8%	2.7 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
__memmove_avx_unaligned_erms	224.190s	785,136,000,000	173,408,000,000	4.528	8.0%	2.1%	0.7%	20.0%	13.4%	30.4%	68.3%	32.4%	2.0%	0.0%	79.3%	8.4%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	221.720s	782,880,000,000	2,702,624,000,000	0.290	84.0%	1.1%	1.3%	0.5%	0.0%	0.0%	10.8%	0.0%	0.0%	0.0%	0.6%	12.7%	3.5 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	156.765s	549,424,000,000	228,160,000,000	2.408	13.2%	0.4%	0.0%	23.2%	11.8%	7.3%	90.6%	0.0%	0.0%	0.0%	9.3%	41.4%	3.5 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
decompress_onepass	143.305s	499,344,000,000	986,256,000,000	0.506	49.9%	4.4%	20.2%	3.3%	0.1%	0.0%	11.2%	0.0%	0.0%	0.0%	0.2%	22.0%	3.5 GHz	[Unknown]	decompress_onepass	[Unknown]	0
ImagingUnpackRGB	133.925s	472,256,000,000	1,943,920,000,000	0.243	88.1%	6.2%	0.0%	0.3%	0.3%	0.1%	11.8%	0.0%	0.0%	0.0%	1.3%	5.7%	3.5 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
clear_page_erms	122.890s	434,464,000,000	18,240,000,000	23.819	6.5%	1.3%	0.0%	0.0%	0.0%	0.0%	1.7%	0.0%	0.0%	0.0%	88.9%	46.9%	3.5 GHz	[Unknown]	clear_page_erms	[Unknown]	0
_PyEval_EvalFrameDefault	112.155s	333,680,000,000	337,504,000,000	0.989	26.5%	37.6%	20.0%	7.6%	2.7%	17.3%	27.1%	6.7%	3.4%	0.0%	2.6%	4.7%	3.0 GHz	[Unknown]	_PyEval_EvalFrameDefault	ceval.c	0
