Functions,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,batch_size,gpus
ImagingResampleVertical_8bpc,458.595,86.5,0.3,0.7,0.8,0.0,0.3,9.2,0.0,0.0,0.0,0.2,11.8,5.379867859807516,128,4
__memmove_avx_unaligned_erms,230.93,7.4,2.0,0.4,22.2,13.5,30.0,66.3,32.5,0.0,0.0,79.9,10.4,2.7090851074812186,128,4
jpeg_idct_16x16,223.665,86.9,1.2,3.1,0.5,0.0,0.0,10.2,0.0,0.0,0.0,0.5,8.2,2.623857968062992,128,4
decompress_onepass,145.535,55.4,5.8,25.5,2.7,0.1,0.0,10.9,0.0,0.0,0.0,0.2,12.2,1.7072996194399999,128,4
ImagingUnpackRGB,138.605,91.4,5.9,0.0,0.5,0.0,0.0,11.4,0.0,0.0,0.0,1.3,2.4,1.626002430703825,128,4
__memset_avx2_unaligned_erms,29.865,49.1,33.6,28.3,6.8,0.3,0.0,15.0,0.0,0.0,0.0,3.2,0.0,0.3503521705058961,128,4
_int_free,14.645,22.8,48.6,8.3,14.4,0.0,15.1,32.4,8.4,0.0,0.0,1.1,6.1,0.17180336638402308,128,4
__libc_calloc,2.36,2.5,29.6,5.3,49.5,0.0,34.9,20.4,0.0,0.0,0.0,17.5,0.0,0.027685622715349568,128,4
decode_mcu,1830.992,40.6,8.0,41.5,17.1,0.2,0.1,10.7,0.0,0.0,0.0,0.0,6.0,21.6361950664533,256,1
jpeg_idct_islow,1443.526,69.3,2.6,7.0,1.8,0.0,0.0,9.5,0.0,0.0,0.0,0.1,19.8,17.057644227553734,256,1
ImagingResampleHorizontal_8bpc,618.651,89.6,2.0,1.1,0.6,0.0,0.1,16.7,0.0,0.0,0.0,0.0,7.0,7.310383504710233,256,1
ycc_rgb_convert,515.01,86.8,0.3,0.0,0.2,0.0,0.0,10.4,0.0,0.0,0.0,0.0,13.9,6.085693886796946,256,1
ImagingResampleVertical_8bpc,425.875,87.6,0.3,1.0,0.8,0.1,0.1,12.8,0.0,0.0,0.0,0.0,10.6,5.032416621113472,256,1
jpeg_idct_16x16,219.065,85.9,1.0,0.0,0.6,0.0,0.0,10.3,0.0,0.0,0.0,0.5,12.8,2.5886148449761617,256,1
__memmove_avx_unaligned_erms,205.065,8.3,1.9,0.2,16.9,15.2,30.3,68.0,21.2,4.4,0.0,79.1,10.6,2.4231817185996696,256,1
decompress_onepass,142.02,51.9,5.7,20.8,3.1,0.1,0.1,9.5,0.0,0.0,0.0,0.1,19.2,1.678200900570673,256,1
ImagingUnpackRGB,133.545,91.5,6.0,1.1,0.4,0.2,0.0,10.5,0.0,0.0,0.0,0.4,1.2,1.5780547758534749,256,1
__memset_avx2_unaligned_erms,30.09,46.3,26.1,15.8,4.1,0.0,0.0,10.6,0.0,0.0,0.0,3.6,6.7,0.35556305519061787,256,1
_int_free,7.83,29.5,68.2,14.2,10.7,4.4,16.3,40.8,0.0,0.0,0.0,0.0,0.0,0.09252438425199529,256,1
__libc_calloc,1.895,8.5,62.8,7.6,12.9,0.0,16.5,11.0,0.0,0.0,0.0,3.7,13.6,0.022392555320246622,256,1
decode_mcu,1918.142,40.8,8.1,42.1,17.1,0.2,0.1,15.8,0.0,0.0,0.0,0.0,5.4,22.076689524361978,256,2
jpeg_idct_islow,1496.046,69.2,2.7,6.3,1.7,0.0,0.0,14.0,0.0,0.0,0.0,0.1,20.6,17.218612102838915,256,2
ImagingResampleHorizontal_8bpc,651.206,90.3,1.7,0.0,0.7,0.0,0.1,18.0,0.0,0.4,0.0,0.0,8.3,7.494999159812813,256,2
ycc_rgb_convert,544.151,85.1,0.4,2.6,0.2,0.0,0.0,15.0,0.0,0.0,0.2,0.1,11.0,6.262858892288002,256,2
ImagingResampleVertical_8bpc,458.195,86.3,0.2,1.1,0.5,0.0,0.3,11.4,0.0,0.0,0.0,0.0,12.0,5.273555741240761,256,2
jpeg_idct_16x16,225.705,93.8,1.2,0.0,0.2,0.0,0.0,13.0,0.0,0.0,0.0,0.3,7.2,2.597732185154238,256,2
