Functions,Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound
decode_mcu,278.126486,59.178118999999995,299.65011,107.55019899999996,-0.5609600000000001,0.6397109999999999,3.0421799999999735,0.0,0.0,0.0,0.0,1.0928109999999975
jpeg_idct_islow,383.55798100000004,16.611511999999994,28.158737000000002,9.459090000000003,0.0,0.0,-6.909745999999984,0.0,0.0,0.0,1.0510100000000004,89.81970000000004
ImagingResampleHorizontal_8bpc,207.46250900000013,5.573736000000003,-3.3087199999999997,4.838853,0.6585510000000001,0.24496100000000015,15.148666000000006,0.0,0.0,0.0,0.6585510000000001,30.715915000000003
ycc_rgb_convert,153.53996599999994,1.8272959999999996,-4.79801,0.9136479999999998,0.0,0.0,0.7519319999999965,1.0660519999999998,0.0,0.0,0.5330259999999999,30.033558999999997
ImagingResampleVertical_8bpc,142.76131499999994,1.2730100000000002,5.031784999999999,3.4169699999999996,-0.288125,0.8106949999999998,9.037075000000002,-1.72875,0.0,0.0,0.46231500000000003,23.442245
AVX2::direct_copy_kernel(float),1.56602,0.3058249999999998,0.44029,9.842294999999996,-2.752365000000001,7.317184999999995,19.915639999999996,14.279999999999973,14.279999999999973,-3.499705,23.21309499999998,-0.5783100000000019
jpeg_idct_16x16,61.42340499999999,1.3864449999999995,-2.845,0.48130999999999985,0.0,0.0,0.8797649999999955,0.0,0.0,0.0,1.1623549999999998,24.999884999999992
__memmove_avx_unaligned_erms,4.36248,2.4164399999999997,2.2061699999999997,24.74048999999999,10.26171,29.21991,58.31406,51.64256999999999,-4.837949999999999,0.0,88.30442999999998,11.191259999999998
AVX2::div_true_kernel(float),6.872165000000001,0.5086950000000001,1.13001,11.362285000000004,10.737080000000002,3.6416200000000005,48.334125000000014,0.0,0.0,0.0,4.135315,26.10511499999999
decompress_onepass,26.236764999999984,2.604775,9.44953,1.2053950000000002,-0.096815,0.04822999999999998,-0.01846000000000103,0.0,0.0,0.0,0.24150499999999994,9.264419999999998
ImagingUnpackRGB,34.878444999999985,3.4773749999999986,1.1378000000000001,0.72283,0.193535,0.0,2.0822200000000013,0.0,0.0,0.0,1.4339549999999999,7.17699
