Functions,Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound
decode_mcu,0.1,-0.1,0.6,-0.4,0.1,0.0,0.6,0.0,0.0,0.0,0.0,-0.2
jpeg_idct_islow,-0.7,0.5,-0.5,-0.1,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.7
ImagingResampleHorizontal_8bpc,1.3,0.8,0.0,0.2,0.2,-0.1,0.4,0.8,0.0,-0.2,0.1,-1.3
ycc_rgb_convert,-4.4,0.2,0.2,0.3,0.1,0.0,1.2,0.0,0.3,0.0,0.1,1.2
ImagingResampleVertical_8bpc,4.5,0.2,-0.7,0.3,0.1,0.2,2.4,0.7,0.0,0.0,0.2,-2.0
jpeg_fill_bit_buffer,-0.9,1.1,1.3,-1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,-1.4
__memmove_avx_unaligned_erms,0.7,-0.2,-1.0,1.0,-1.5,-1.9,-3.0,18.6,2.3,0.0,-1.9,0.7
jpeg_idct_16x16,-3.0,0.7,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.5,-0.4
AVX2::direct_copy_kernel(float),0.3,0.1,0.3,-0.2,0.5,-0.9,1.3,0.0,4.3,0.0,-1.1,-0.7
AVX2::div_true_kernel(float),0.7,0.4,-0.9,1.6,3.1,-0.2,0.9,0.0,0.0,0.0,0.5,-4.3
decompress_onepass,-2.4,0.4,-0.2,1.1,0.1,0.0,1.6,0.0,0.0,0.0,0.2,0.9
ImagingUnpackRGB,-3.1,0.0,0.6,0.0,0.2,0.2,0.7,0.0,0.0,0.0,0.9,1.5
