Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Spin Time:Imbalance or Serial Spinning,CPU Time:Spin Time:Lock Contention,CPU Time:Spin Time:Other,CPU Time:Overhead Time,CPU Time:Overhead Time:Creation,CPU Time:Overhead Time:Scheduling,CPU Time:Overhead Time:Reduction,CPU Time:Overhead Time:Atomics,CPU Time:Overhead Time:Other,Module,Function (Full),Source File,Start Address
"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",8.182506,8.182506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,libtorch_cpu.so,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)",[Unknown],0x58c96f0
__kmp_fork_barrier,4.684209,0.0,4.684209,2.962724,0.0,1.721486,0.0,0.0,0.0,0.0,0.0,0.0,libgomp.so.1,"__kmp_fork_barrier(int, int)",[Unknown],0x70b40
GOMP_parallel,0.493970,0.0,0.453918,0.227944,0.0,0.225974,0.040051,0.0,0.0,0.0,0.0,0.040051,libgomp.so.1,GOMP_parallel,[Unknown],0x9f070
__kmp_join_barrier,0.425881,0.0,0.425881,0.243937,0.0,0.181944,0.0,0.0,0.0,0.0,0.0,0.0,libgomp.so.1,__kmp_join_barrier(int),[Unknown],0x70520
[OpenMP dispatcher],0.019952,0.0,0.0,0.0,0.0,0.0,0.019952,0.019952,0.0,0.0,0.0,0.0,libgomp.so.1,__kmp_invoke_task_func,[Unknown],0x42110
__GI___pthread_getspecific,0.008001,0.0,0.0,0.0,0.0,0.0,0.008001,0.008001,0.0,0.0,0.0,0.0,libpthread.so.0,__GI___pthread_getspecific,pthread_getspecific.c,0x10cb0
