Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
ImagingBlend,15.047870,15.047870,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingBlend,[Unknown],0x239f0
hsv2rgb,14.772077,14.772077,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,hsv2rgb,[Unknown],0x2e190
rgb2hsv_row,10.082141,10.082141,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,rgb2hsv_row,[Unknown],0x2e470
__round,4.195788,4.195788,0.0,0.0,libm.so.6,__round,s_round.c,0x38dd0
__ieee754_fmod,2.614934,2.614934,0.0,0.0,libm.so.6,__ieee754_fmod,e_fmod.c,0x29120
__fmod,1.690826,1.690826,0.0,0.0,libm.so.6,__fmod,w_fmod_compat.c,0xfed0
l2rgb,1.679977,1.679977,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,l2rgb,[Unknown],0x2f960
ImagingSplit,1.419991,1.419991,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingSplit,[Unknown],0x21170
ImagingGetHistogram,1.139969,1.139969,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingGetHistogram,[Unknown],0x44410
rgb2l,0.996376,0.996376,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,rgb2l,[Unknown],0x27d50
ImagingMerge,0.611982,0.611982,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingMerge,[Unknown],0x217a0
__memset_avx2_erms,0.542032,0.542032,0.0,0.0,libc.so.6,__memset_avx2_erms,memset-vec-unaligned-erms.S,0x18bd60
__memmove_avx_unaligned_erms,0.328006,0.328006,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
rgb2hsv,0.323999,0.323999,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,rgb2hsv,[Unknown],0x2e6f0
UBYTE_add_AVX2,0.080005,0.080005,0.0,0.0,_multiarray_umath.cpython-310-x86_64-linux-gnu.so,UBYTE_add_AVX2,[Unknown],0x3154a0
convert,0.012002,0.012002,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,convert,[Unknown],0x2e800
_int_free,0.011650,0.011650,0.0,0.0,libc.so.6,_int_free,malloc.c,0x96840
