Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	2497.257s	8,131,920,000,000	9,480,240,000,000	0.858	50.1%	15.4%	37.2%	21.2%	1.1%	0.6%	9.6%	0.1%	0.1%	0.0%	0.4%	0.0%	3.3 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	2264.292s	7,156,320,000,000	13,708,128,000,000	0.522	84.5%	12.1%	3.8%	5.1%	0.2%	0.1%	9.0%	0.0%	0.1%	0.0%	1.1%	0.0%	3.2 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	1109.511s	3,614,416,000,000	7,921,568,000,000	0.456	93.0%	9.7%	3.2%	8.7%	0.4%	0.2%	17.7%	0.2%	0.0%	0.0%	0.0%	0.0%	3.3 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	948.881s	3,081,936,000,000	6,188,320,000,000	0.498	85.6%	12.0%	1.8%	4.6%	0.3%	0.4%	10.1%	0.0%	0.0%	0.0%	0.3%	0.5%	3.2 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	764.056s	2,468,160,000,000	5,423,680,000,000	0.455	96.1%	8.2%	0.0%	11.7%	0.6%	0.4%	10.1%	1.3%	0.0%	0.0%	0.8%	0.0%	3.2 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	593.216s	1,919,536,000,000	2,314,992,000,000	0.829	45.9%	22.7%	36.8%	15.8%	0.2%	0.2%	9.0%	0.1%	0.0%	0.1%	0.0%	0.0%	3.2 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	461.615s	1,535,424,000,000	162,176,000,000	9.468	6.5%	4.9%	0.9%	24.3%	7.0%	8.9%	47.1%	100.0%	1.5%	0.0%	80.8%	7.6%	3.3 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	419.725s	1,355,104,000,000	2,630,272,000,000	0.515	88.6%	13.3%	0.0%	6.1%	0.1%	0.1%	8.5%	0.0%	0.0%	0.0%	2.8%	0.0%	3.2 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	270.485s	874,736,000,000	156,544,000,000	5.588	6.0%	4.8%	1.4%	19.1%	12.3%	15.4%	76.9%	100.0%	100.0%	0.0%	87.1%	4.5%	3.2 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
ImagingUnpackRGB	249.535s	822,160,000,000	1,895,200,000,000	0.434	88.9%	8.8%	0.0%	8.0%	0.3%	1.1%	9.0%	0.0%	0.0%	0.0%	6.3%	2.3%	3.3 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
decompress_onepass	228.400s	708,144,000,000	894,064,000,000	0.792	54.1%	25.3%	19.5%	14.8%	0.7%	0.5%	9.2%	0.0%	0.0%	0.0%	2.5%	0.6%	3.1 GHz	[Unknown]	decompress_onepass	[Unknown]	0
