Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	2461.107s	7,803,616,000,000	9,657,392,000,000	0.808	47.1%	13.7%	38.2%	20.8%	1.0%	0.5%	9.9%	0.0%	0.0%	0.0%	0.3%	0.6%	3.2 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	2188.162s	7,027,392,000,000	13,598,928,000,000	0.517	78.0%	9.4%	3.3%	4.6%	0.1%	0.1%	8.9%	0.0%	0.0%	0.0%	0.9%	8.3%	3.2 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	1029.481s	3,234,144,000,000	8,013,040,000,000	0.404	95.5%	8.3%	0.8%	8.3%	0.5%	0.2%	17.0%	0.1%	0.0%	0.0%	0.0%	0.0%	3.1 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	920.831s	2,930,784,000,000	6,196,032,000,000	0.473	82.1%	9.2%	2.1%	4.4%	0.2%	0.3%	10.0%	0.1%	0.0%	0.0%	0.4%	5.8%	3.2 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	686.676s	2,211,040,000,000	5,430,784,000,000	0.407	93.9%	6.9%	0.0%	10.6%	0.2%	0.6%	10.2%	1.5%	0.0%	0.0%	0.6%	0.0%	3.2 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	577.251s	1,796,448,000,000	2,132,480,000,000	0.842	41.0%	20.4%	40.5%	13.2%	0.2%	0.3%	9.6%	0.0%	0.0%	0.0%	0.0%	0.0%	3.1 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	420.005s	1,399,136,000,000	174,320,000,000	8.026	6.4%	3.6%	0.4%	23.7%	7.6%	10.8%	49.0%	100.0%	0.5%	0.0%	83.9%	9.3%	3.3 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	384.480s	1,220,192,000,000	2,656,496,000,000	0.459	85.8%	10.3%	0.0%	5.2%	0.0%	0.0%	9.8%	0.0%	0.0%	0.0%	2.8%	3.4%	3.2 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	259.045s	841,312,000,000	155,872,000,000	5.397	6.8%	4.4%	0.3%	14.4%	12.4%	15.8%	78.2%	100.0%	100.0%	0.0%	87.0%	5.4%	3.2 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
ImagingUnpackRGB	244.995s	740,528,000,000	1,885,120,000,000	0.393	89.4%	8.0%	1.9%	7.9%	0.4%	0.0%	10.7%	0.0%	0.0%	0.0%	5.4%	0.5%	3.0 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
