Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	2284.087s	7,300,896,000,000	10,134,896,000,000	0.720	45.4%	11.8%	39.6%	19.9%	0.8%	0.4%	8.9%	0.0%	0.0%	0.0%	0.3%	1.9%	3.2 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1960.072s	6,171,232,000,000	13,951,920,000,000	0.442	76.5%	7.6%	5.9%	3.8%	0.1%	0.1%	8.3%	0.0%	0.0%	0.0%	0.7%	9.1%	3.1 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	957.131s	3,020,160,000,000	8,399,312,000,000	0.360	89.9%	5.6%	0.6%	6.2%	0.3%	0.2%	13.9%	0.4%	0.0%	0.0%	0.0%	3.2%	3.2 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	806.356s	2,524,336,000,000	6,359,648,000,000	0.397	85.2%	6.2%	1.6%	3.5%	0.2%	0.3%	9.0%	0.0%	0.0%	0.0%	0.6%	6.2%	3.1 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	655.771s	2,067,184,000,000	5,544,560,000,000	0.373	89.5%	4.5%	0.0%	8.0%	0.4%	0.4%	8.0%	1.4%	0.0%	0.0%	0.5%	4.9%	3.2 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	501.275s	1,623,264,000,000	1,913,024,000,000	0.849	37.0%	18.8%	47.0%	11.5%	0.1%	0.1%	8.3%	0.0%	0.0%	0.0%	0.0%	0.0%	3.2 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	426.240s	1,389,024,000,000	166,208,000,000	8.357	5.9%	2.4%	0.1%	24.3%	8.5%	11.5%	49.1%	100.0%	0.0%	0.0%	82.9%	6.5%	3.3 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	336.225s	1,091,072,000,000	2,716,656,000,000	0.402	88.3%	8.1%	0.5%	3.8%	0.1%	0.1%	7.5%	0.0%	0.0%	0.0%	2.0%	2.8%	3.2 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	264.645s	847,568,000,000	167,664,000,000	5.055	6.1%	3.4%	0.4%	16.9%	8.9%	15.5%	76.7%	100.0%	100.0%	0.0%	84.4%	4.8%	3.2 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	203.585s	645,520,000,000	214,992,000,000	3.003	15.1%	4.2%	0.0%	23.4%	16.8%	11.5%	89.7%	0.8%	0.0%	0.0%	13.4%	28.3%	3.2 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
