Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	2027.917s	6,513,760,000,000	10,594,208,000,000	0.615	41.8%	9.4%	43.0%	17.9%	0.3%	0.3%	6.3%	0.0%	0.0%	0.0%	0.1%	3.5%	3.2 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1640.732s	5,223,760,000,000	13,997,264,000,000	0.373	72.7%	4.2%	6.7%	2.5%	0.0%	0.0%	5.4%	0.0%	0.0%	0.0%	0.6%	15.0%	3.2 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	764.261s	2,494,368,000,000	8,135,680,000,000	0.307	86.9%	2.6%	0.0%	2.1%	0.2%	0.1%	9.8%	0.0%	0.0%	0.0%	0.0%	10.2%	3.3 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	618.421s	1,972,352,000,000	6,456,368,000,000	0.305	89.2%	2.4%	0.0%	1.1%	0.2%	0.1%	5.9%	0.0%	0.0%	0.0%	0.8%	8.6%	3.2 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	538.016s	1,723,024,000,000	5,463,104,000,000	0.315	85.2%	1.6%	0.0%	3.1%	0.4%	0.3%	5.7%	1.3%	0.0%	0.0%	0.6%	12.8%	3.2 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	402.970s	1,295,504,000,000	1,584,080,000,000	0.818	30.0%	15.1%	53.4%	8.5%	0.1%	0.1%	6.4%	0.2%	0.0%	0.0%	0.0%	1.2%	3.2 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	391.810s	1,262,800,000,000	178,976,000,000	7.056	5.5%	2.0%	0.0%	28.2%	7.4%	14.9%	48.4%	91.0%	1.8%	0.0%	80.3%	9.1%	3.2 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	272.715s	852,896,000,000	2,769,456,000,000	0.308	88.4%	3.1%	0.0%	1.7%	0.0%	0.0%	5.0%	0.0%	0.0%	0.0%	1.5%	9.3%	3.1 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	255.365s	815,632,000,000	164,048,000,000	4.972	5.8%	2.1%	0.0%	15.2%	10.6%	16.9%	75.6%	100.0%	100.0%	0.0%	89.2%	6.8%	3.2 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
func@0x3fd7b0	203.855s	614,240,000,000	1,135,600,000,000	0.541	52.5%	4.1%	0.0%	11.4%	4.9%	0.6%	0.4%	0.9%	0.0%	0.0%	0.0%	33.4%	3.0 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	200.630s	627,264,000,000	224,656,000,000	2.792	13.5%	1.3%	0.0%	24.9%	12.5%	11.3%	85.3%	0.0%	0.0%	0.0%	12.9%	32.8%	3.1 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
clear_page_erms	173.110s	575,648,000,000	22,688,000,000	25.372	5.6%	1.0%	0.0%	0.0%	0.0%	0.0%	1.9%	0.0%	0.0%	0.0%	88.9%	48.6%	3.3 GHz	[Unknown]	clear_page_erms	[Unknown]	0
ImagingUnpackRGB	161.105s	525,472,000,000	1,945,344,000,000	0.270	87.1%	7.2%	0.0%	2.9%	0.1%	0.0%	6.1%	0.0%	0.0%	0.0%	4.4%	4.8%	3.3 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
decompress_onepass	159.930s	497,696,000,000	965,808,000,000	0.515	54.1%	7.9%	25.7%	6.3%	0.2%	0.4%	6.2%	0.0%	0.0%	0.0%	1.0%	10.1%	3.1 GHz	[Unknown]	decompress_onepass	[Unknown]	0
_PyEval_EvalFrameDefault	150.330s	493,152,000,000	259,408,000,000	1.901	14.5%	29.1%	14.1%	5.4%	0.5%	12.1%	27.5%	43.6%	0.8%	0.0%	6.9%	6.1%	3.3 GHz	[Unknown]	_PyEval_EvalFrameDefault	ceval.c	0
__memset_avx2_erms	124.655s	389,456,000,000	1,024,000,000	380.328	4.5%	1.2%	0.0%	0.0%	0.0%	0.8%	3.9%	0.0%	0.0%	0.0%	92.9%	47.4%	3.1 GHz	[Unknown]	__memset_avx2_erms	memset-vec-unaligned-erms.S	0
page_fault	112.190s	356,864,000,000	12,864,000,000	27.741	9.3%	12.4%	7.9%	0.0%	3.0%	0.0%	33.8%	0.0%	0.0%	0.0%	11.7%	52.1%	3.2 GHz	[Unknown]	page_fault	[Unknown]	0
at::native::(anonymous namespace)::cat_serial_kernel	105.785s	342,752,000,000	113,952,000,000	3.008	9.9%	8.1%	5.4%	7.5%	0.0%	2.7%	64.6%	100.0%	15.4%	0.0%	12.9%	23.2%	3.2 GHz	[Unknown]	at::native::(anonymous namespace)::cat_serial_kernel(at::Tensor const&, std::vector<std::reference_wrapper<at::Tensor const>, std::allocator<std::reference_wrapper<at::Tensor const>>> const&, long)	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>	104.620s	337,760,000,000	1,333,488,000,000	0.253	91.7%	1.3%	1.1%	2.4%	0.2%	0.5%	18.5%	0.0%	0.0%	0.0%	0.1%	4.7%	3.2 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
