Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
xas_clear_mark	2.780s	11,568,000,000	21,104,000,000	0.548	36.3%	22.4%	0.0%	3.9%	1.3%	0.0%	1.3%	0.0%	0.0%	0.0%	0.0%	37.3%	4.2 GHz	[Unknown]	xas_clear_mark	[Unknown]	0
bilinear_filter	2.760s	7,600,000,000	17,312,000,000	0.439	100.0%	2.9%	0.0%	3.9%	0.0%	0.0%	23.7%	0.0%	0.0%	0.0%	15.8%	23.9%	2.8 GHz	[Unknown]	bilinear_filter	[Unknown]	0
process_data_simple_main	2.760s	11,072,000,000	14,064,000,000	0.787	23.7%	23.2%	10.8%	4.1%	0.0%	1.4%	2.7%	0.0%	0.0%	0.0%	5.4%	42.3%	4.0 GHz	[Unknown]	process_data_simple_main	[Unknown]	0
dict_subscript	2.740s	6,656,000,000	3,296,000,000	2.019	4.3%	51.1%	26.6%	24.8%	0.0%	65.4%	15.8%	0.0%	0.0%	0.0%	6.8%	6.7%	2.4 GHz	[Unknown]	dict_subscript	dictobject.c	0
__libc_calloc	2.740s	9,744,000,000	2,800,000,000	3.480	9.7%	61.9%	10.2%	43.1%	0.0%	18.5%	10.8%	0.0%	0.0%	0.0%	24.6%	3.0%	3.6 GHz	[Unknown]	__libc_calloc	malloc.c	0
_raw_spin_unlock_irqrestore	2.705s	6,608,000,000	12,384,000,000	0.534	63.2%	9.2%	0.0%	13.6%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	51.0%	2.4 GHz	[Unknown]	_raw_spin_unlock_irqrestore	[Unknown]	0
func@0x4e0260	2.695s	8,736,000,000	22,272,000,000	0.392	31.8%	3.8%	50.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	13.9%	3.2 GHz	[Unknown]	func@0x4e0260	[Unknown]	0
free_pages_and_swap_cache	2.685s	7,744,000,000	7,536,000,000	1.028	43.6%	2.2%	0.0%	13.6%	0.0%	37.1%	29.1%	20.8%	32.2%	0.0%	0.0%	19.7%	2.9 GHz	[Unknown]	free_pages_and_swap_cache	[Unknown]	0
__d_lookup_rcu	2.675s	10,480,000,000	736,000,000	14.239	4.8%	9.6%	0.0%	0.0%	8.6%	53.0%	22.9%	19.1%	29.6%	0.0%	0.0%	4.9%	3.9 GHz	[Unknown]	__d_lookup_rcu	[Unknown]	0
activate_page	2.655s	8,448,000,000	16,448,000,000	0.514	72.1%	7.8%	9.4%	7.1%	0.0%	0.0%	10.7%	0.0%	0.0%	0.0%	0.0%	9.4%	3.2 GHz	[Unknown]	activate_page	[Unknown]	0
call_function	2.650s	11,216,000,000	9,760,000,000	1.149	18.0%	67.8%	9.0%	0.0%	14.7%	7.8%	14.7%	0.0%	0.0%	0.0%	2.7%	3.3%	4.2 GHz	[Unknown]	call_function	ceval.c	0
normalize_coeffs_8bpc	2.595s	7,808,000,000	24,928,000,000	0.313	79.9%	8.5%	17.0%	0.0%	1.9%	0.0%	23.1%	0.0%	0.0%	0.0%	0.0%	0.0%	3.0 GHz	[Unknown]	normalize_coeffs_8bpc	[Unknown]	0
take_gil	2.580s	10,000,000,000	1,472,000,000	6.793	7.3%	84.5%	10.7%	0.0%	6.0%	15.0%	42.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.9 GHz	[Unknown]	take_gil	ceval_gil.h	0
_Py_CheckFunctionResult	2.550s	6,912,000,000	4,864,000,000	1.421	11.2%	42.2%	9.9%	0.0%	6.5%	23.9%	21.7%	25.6%	0.0%	0.0%	0.0%	21.2%	2.7 GHz	[Unknown]	_Py_CheckFunctionResult	call.c	0
shmem_pseudo_vma_init	2.530s	6,880,000,000	11,296,000,000	0.609	63.0%	9.8%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	59.5%	2.7 GHz	[Unknown]	shmem_pseudo_vma_init	[Unknown]	0
at::native::copy_impl	2.475s	7,344,000,000	2,048,000,000	3.586	15.7%	100.0%	5.2%	22.5%	0.0%	44.9%	32.7%	0.0%	0.0%	0.0%	0.0%	0.0%	3.0 GHz	[Unknown]	at::native::copy_impl(at::Tensor&, at::Tensor const&, bool)	[Unknown]	0
tupledealloc	2.465s	10,144,000,000	7,072,000,000	1.434	32.4%	74.5%	19.7%	8.9%	8.9%	14.8%	26.6%	22.6%	0.0%	0.0%	3.0%	0.0%	4.1 GHz	[Unknown]	tupledealloc	tupleobject.c	0
func@0x368860	2.455s	7,760,000,000	12,272,000,000	0.632	45.1%	1.0%	58.3%	1.9%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.2 GHz	[Unknown]	func@0x368860	[Unknown]	0
memset_erms	2.440s	7,200,000,000	1,456,000,000	4.945	18.4%	1.0%	0.0%	2.1%	0.0%	0.0%	6.3%	0.0%	0.0%	0.0%	79.2%	48.2%	3.0 GHz	[Unknown]	memset_erms	[Unknown]	0
listiter_next	2.430s	7,008,000,000	752,000,000	9.319	1.8%	42.6%	16.9%	25.7%	0.0%	70.6%	27.8%	42.8%	0.0%	0.0%	0.0%	8.8%	2.9 GHz	[Unknown]	listiter_next	listobject.c	0
_PyObject_LookupSpecial	2.385s	7,280,000,000	1,392,000,000	5.230	13.0%	49.2%	5.7%	10.3%	0.0%	16.3%	35.0%	0.0%	0.0%	0.0%	12.4%	6.0%	3.1 GHz	[Unknown]	_PyObject_LookupSpecial	typeobject.c	0
__GI___clock_gettime	2.365s	6,896,000,000	17,056,000,000	0.404	48.0%	18.4%	0.0%	8.7%	4.4%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	55.4%	2.9 GHz	[Unknown]	__GI___clock_gettime	clock_gettime.c	0
vm_normal_page	2.340s	6,672,000,000	20,352,000,000	0.328	66.5%	15.3%	16.0%	0.0%	9.0%	6.7%	29.2%	0.0%	0.0%	0.0%	0.0%	1.7%	2.9 GHz	[Unknown]	vm_normal_page	[Unknown]	0
down_read_trylock	2.255s	9,344,000,000	19,216,000,000	0.486	40.1%	27.0%	0.0%	12.8%	0.0%	0.0%	3.2%	0.0%	0.0%	0.0%	0.0%	27.9%	4.1 GHz	[Unknown]	down_read_trylock	[Unknown]	0
_Py_XDECREF	2.245s	5,424,000,000	3,680,000,000	1.474	22.8%	33.8%	8.5%	0.0%	22.1%	0.0%	41.5%	0.0%	0.0%	0.0%	5.5%	0.0%	2.4 GHz	[Unknown]	_Py_XDECREF	object.h	0
_PyFrame_New_NoTrack	2.220s	9,904,000,000	5,696,000,000	1.739	11.2%	22.9%	4.7%	3.0%	0.0%	54.5%	40.9%	0.0%	0.0%	0.0%	54.5%	15.0%	4.5 GHz	[Unknown]	_PyFrame_New_NoTrack	frameobject.c	0
mem_cgroup_throttle_swaprate	2.205s	7,856,000,000	6,064,000,000	1.296	26.0%	33.8%	37.1%	11.5%	0.0%	5.7%	0.0%	0.0%	0.0%	0.0%	13.4%	2.3%	3.6 GHz	[Unknown]	mem_cgroup_throttle_swaprate	[Unknown]	0
