Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Spin Time:Imbalance or Serial Spinning,CPU Time:Spin Time:Lock Contention,CPU Time:Spin Time:Other,CPU Time:Overhead Time,CPU Time:Overhead Time:Creation,CPU Time:Overhead Time:Scheduling,CPU Time:Overhead Time:Reduction,CPU Time:Overhead Time:Atomics,CPU Time:Overhead Time:Other,Module,Function (Full),Source File,Start Address
"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",6.104565,6.104565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,libtorch_cpu.so,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)",[Unknown],0x58c96f0
__kmp_fork_barrier,3.771033,0.0,3.771033,2.260631,0.0,1.510402,0.0,0.0,0.0,0.0,0.0,0.0,libgomp.so.1,"__kmp_fork_barrier(int, int)",[Unknown],0x70b40
GOMP_parallel,0.350428,0.0,0.330397,0.238395,0.0,0.092002,0.020032,0.0,0.0,0.0,0.0,0.020032,libgomp.so.1,GOMP_parallel,[Unknown],0x9f070
__kmp_join_barrier,0.271939,0.0,0.271939,0.151982,0.0,0.119958,0.0,0.0,0.0,0.0,0.0,0.0,libgomp.so.1,__kmp_join_barrier(int),[Unknown],0x70520
[OpenMP dispatcher],0.024004,0.0,0.0,0.0,0.0,0.0,0.024004,0.024004,0.0,0.0,0.0,0.0,libgomp.so.1,__kmp_invoke_task_func,[Unknown],0x42110
__GI___pthread_getspecific,0.012003,0.0,0.0,0.0,0.0,0.0,0.012003,0.012003,0.0,0.0,0.0,0.0,libpthread.so.0,__GI___pthread_getspecific,pthread_getspecific.c,0x10cb0
__kmp_GOMP_microtask_wrapper,0.012003,0.0,0.0,0.0,0.0,0.0,0.012003,0.0,0.0,0.0,0.0,0.012003,libgomp.so.1,__kmp_GOMP_microtask_wrapper,[Unknown],0x97700
[Outside any known module],0.008009,0.008009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[Unknown],[Outside any known module],[Unknown],0x0
