,Source Function,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:OFFCORE_RESPONSE:request=ALL_READS:response=LLC_MISS.LOCAL_DRAM,Hardware Event Count:OFFCORE_RESPONSE:request=ALL_READS:response=LLC_MISS.REMOTE_DRAM,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_MISS.REMOTE_HITM,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:CYCLE_ACTIVITY.STALLS_TOTAL,CPU Time (s),CPU Time %,config
95,__memset_avx2_unaligned_erms,5100007650,165004950,0,4537636125,4950007425,0,0,4050006075,19050028575,49950074925,49.1,0.3497066310360006,b1024_gpu4_dataloader24
96,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",47250070875,0,7500225,3645109350,492900739350,0,0,29700044550,51750077625,57900086850,41.775,0.29753552976637315,b1024_gpu4_dataloader24
97,ImagingFlipLeftRight,4050006075,1582547475,30000900,3900117000,8550012825,0,0,2400003600,19050028575,27150040725,37.160000000000004,0.2646659553828469,b1024_gpu4_dataloader24
98,_int_free,18000027000,210006300,22500675,1747552425,26400039600,0,0,19650029475,34200051300,30150045225,15.59,0.11103719710491342,b1024_gpu4_dataloader24
99,__libc_calloc,3000004500,67502025,0,240007200,10050015075,0,0,3150004725,7050010575,7050010575,4.395,0.03130266076177642,b1024_gpu4_dataloader24
100,decode_mcu,148950223425,645019350,15000450,246239886975,265050397575,0,0,47550071325,1915952873925,3361505042250,2529.855,16.785894263373834,b1024_gpu4_dataloader28
101,jpeg_idct_islow,18300027450,337510125,7500225,216779003175,45450068175,0,0,7800011700,393150589725,765451148175,2285.965,15.167654580904188,b1024_gpu4_dataloader28
102,ImagingResampleHorizontal_8bpc,31500047250,5917677525,52501575,111168334950,48300072450,0,0,11700017550,357600536400,410550615825,1092.405,7.248239453557967,b1024_gpu4_dataloader28
103,ycc_rgb_convert,19650029475,1200036000,15000450,93805314075,51300076950,0,0,12000018000,179700269550,224100336150,959.795,6.368356045905749,b1024_gpu4_dataloader28
104,ImagingResampleVertical_8bpc,34500051750,4125123750,30000900,76179785325,64650096975,0,0,21300031950,327450491175,389400584100,728.62,4.834481928086567,b1024_gpu4_dataloader28
105,jpeg_fill_bit_buffer,10050015075,142504275,15000450,59559286725,10200015300,0,0,5250007875,272850409275,652050978075,598.46,3.970854567103136,b1024_gpu4_dataloader28
106,__memmove_avx_unaligned_erms,871351307025,28253347575,322509675,46823904675,3234754852125,0,0,746401119600,1231201846800,1392602088900,456.92,3.031719528123458,b1024_gpu4_dataloader28
107,jpeg_idct_16x16,2250003375,90002700,0,40966228950,3300004950,0,0,450000675,73800110700,150750226125,401.415,2.6634371320618007,b1024_gpu4_dataloader28
108,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",638700958050,10560316800,7305219150,27278318325,2479353719025,0,0,502500753750,764851147275,764101146150,274.255,1.819715134346273,b1024_gpu4_dataloader28
109,ImagingUnpackRGB,10800016200,8242747275,82502475,25515765450,15600023400,0,0,8550012825,81600122400,151500227250,249.785,1.6573537212910752,b1024_gpu4_dataloader28
110,decompress_onepass,13200019800,187505625,0,22215666450,28350042525,0,0,3750005625,132300198450,185250277875,227.22,1.5076322139109957,b1024_gpu4_dataloader28
111,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",201000301500,8205246150,60001800,20723121675,565200847800,0,0,86700130050,367350551025,444300666450,200.31499999999997,1.3291142810033496,b1024_gpu4_dataloader28
112,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",5550008325,135004050,0,15585467550,16950025425,0,0,2700004050,58650087975,77700116550,151.83499999999998,1.0074436105940323,b1024_gpu4_dataloader28
113,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",79800119700,8077742325,67502025,10245307350,120600180900,0,0,25650038475,187950281925,264300396450,99.585,0.6607585336780499,b1024_gpu4_dataloader28
114,ImagingPackRGB,7350011025,2715081450,22500675,6682700475,18450027675,0,0,5250007875,32550048825,58500087750,62.675,0.4158562142719464,b1024_gpu4_dataloader28
115,__memset_avx2_unaligned_erms,5550008325,112503375,7500225,4890146700,7350011025,0,0,4650006975,17550026325,64200096300,53.35,0.35398371011421365,b1024_gpu4_dataloader28
116,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",49950074925,7500225,15000450,4125123750,443100664650,0,0,31050046575,58800088200,63300094950,41.434999999999995,0.27492624233519103,b1024_gpu4_dataloader28
117,ImagingFlipLeftRight,5700008550,1537546125,7500225,4582637475,9750014625,0,0,1350002025,19050028575,24900037350,40.6,0.26938591622562463,b1024_gpu4_dataloader28
118,_int_free,20250030375,157504725,15000450,1762552875,36750055125,0,0,20100030150,24750037125,30000045000,17.665,0.1172094140425039,b1024_gpu4_dataloader28
119,__libc_calloc,1950002925,37501125,0,540016200,3900005850,0,0,1650002475,6600009900,7200010800,4.175,0.02770163054783209,b1024_gpu4_dataloader28
