,Source Function,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:OFFCORE_RESPONSE:request=ALL_READS:response=LLC_MISS.LOCAL_DRAM,Hardware Event Count:OFFCORE_RESPONSE:request=ALL_READS:response=LLC_MISS.REMOTE_DRAM,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_MISS.REMOTE_HITM,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:CYCLE_ACTIVITY.STALLS_TOTAL,CPU Time (s),CPU Time %,config
30,decompress_onepass,2250003375,45001350,7500225,15007950225,7500011250,0,0,2400003600,25350038025,52500078750,156.52,1.517754243471945,b1024_gpu4_dataloader12
31,ImagingUnpackRGB,3000004500,4050121500,75002250,16582997475,8100012150,0,0,3300004950,11250016875,29550044325,155.92499999999998,1.5119846052476553,b1024_gpu4_dataloader12
32,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",1200001800,37501125,0,8940268200,8400012600,0,0,1800002700,3900005850,6150009225,85.985,0.8337854499420853,b1024_gpu4_dataloader12
33,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",47250070875,3600108000,82502475,6105183150,92700139050,0,0,16950025425,103200154800,139350209025,55.830000000000005,0.5413763059867026,b1024_gpu4_dataloader12
34,ImagingPackRGB,2550003825,1350040500,30000900,4575137250,25200037800,0,0,1350002025,6150009225,21300031950,37.57000000000001,0.3643114421622859,b1024_gpu4_dataloader12
35,__memset_avx2_unaligned_erms,3150004725,90002700,0,3165094950,3750005625,0,0,3000004500,9900014850,18000027000,35.445,0.34370559136125156,b1024_gpu4_dataloader12
36,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",36150054225,7500225,0,3540106200,575550863325,0,0,25050037575,39450059175,37500056250,30.935,0.2999727033082329,b1024_gpu4_dataloader12
37,ImagingFlipLeftRight,4200006300,1432542975,22500675,2940088200,17700026550,0,0,1350002025,9900014850,20250030375,23.16,0.22457953155386054,b1024_gpu4_dataloader12
38,_int_free,10350015525,112503375,22500675,1005030150,25650038475,0,0,10200015300,14850022275,24600036900,11.174999999999999,0.10836253303602725,b1024_gpu4_dataloader12
39,__libc_calloc,2100003150,37501125,7500225,427512825,2550003825,0,0,2550003825,6300009450,6300009450,3.6449999999999996,0.035345094668127006,b1024_gpu4_dataloader12
40,decode_mcu,43800065700,322509675,7500225,198778463175,85050127575,0,0,16200024300,1214551821825,2259753389625,1957.2500000000002,17.747071699167076,b1024_gpu4_dataloader16
41,jpeg_idct_islow,4500006750,210006300,15000450,166092482625,11700017550,7500225,0,2250003375,148500222750,375750563625,1574.6499999999996,14.277903410955897,b1024_gpu4_dataloader16
42,ImagingResampleHorizontal_8bpc,12750019125,5437663125,67502025,74124723675,19350029025,0,0,6900010350,79200118800,94050141075,761.4150000000001,6.904016654909337,b1024_gpu4_dataloader16
43,ycc_rgb_convert,6600009900,1365040950,22500675,62056861650,27900041850,0,0,4500006750,34950052425,63450095175,595.7349999999999,5.401738029737283,b1024_gpu4_dataloader16
44,ImagingResampleVertical_8bpc,11850017775,3472604175,22500675,49238977125,42900064350,0,0,10950016425,71250106875,85200127800,537.1899999999999,4.87088999671762,b1024_gpu4_dataloader16
45,jpeg_fill_bit_buffer,4050006075,90002700,0,41618748525,5100007650,0,0,1800002700,114750172125,346350519525,393.51500000000004,3.568138418545271,b1024_gpu4_dataloader16
46,__memmove_avx_unaligned_erms,666901000350,23745712350,150004500,38326149750,2481153721725,0,0,573000859500,1005601508400,1119901679850,391.12999999999994,3.5465127876843616,b1024_gpu4_dataloader16
47,jpeg_idct_16x16,900001350,60001800,0,25995779850,900001350,0,0,450000675,14850022275,32550048825,265.07,2.403482587966901,b1024_gpu4_dataloader16
48,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",569250853875,11655349650,4852645575,23730711900,2382153573225,0,0,487650731475,682501023750,699151048725,248.70499999999998,2.255095397594251,b1024_gpu4_dataloader16
49,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",154200231300,7425222750,45001350,18263047875,503550755325,0,0,72600108900,309000463500,364050546075,197.17999999999998,1.7879001648444315,b1024_gpu4_dataloader16
50,ImagingUnpackRGB,4350006525,5055151650,37501125,15637969125,7200010800,0,0,2850004275,17550026325,43650065475,159.75,1.4485092369099197,b1024_gpu4_dataloader16
51,decompress_onepass,4800007200,97502925,0,17085512550,5700008550,0,0,2700004050,32100048150,62100093150,156.935,1.4229846453487216,b1024_gpu4_dataloader16
52,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",3150004725,15000450,0,10800324000,3600005400,0,0,2400003600,14550021825,14850022275,105.44,0.9560614331128761,b1024_gpu4_dataloader16
53,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",49950074925,5272658175,60001800,7740232200,102750154125,0,0,18150027225,130650195975,160650240975,77.355,0.7014048952811696,b1024_gpu4_dataloader16
54,ImagingPackRGB,5550008325,1687550625,15000450,4507635225,23550035325,0,0,1200001800,9450014175,30150045225,45.615,0.41360719149700154,b1024_gpu4_dataloader16
55,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",41550062325,7500225,0,3555106650,578100867150,0,0,26250039375,45450068175,47100070650,37.995,0.3445139809476832,b1024_gpu4_dataloader16
56,__memset_avx2_unaligned_erms,4350006525,142504275,0,3802614075,6000009000,0,0,3300004950,9900014850,29250043875,33.705,0.305615047449445,b1024_gpu4_dataloader16
57,ImagingFlipLeftRight,3900005850,1560046800,22500675,2730081900,15450023175,0,0,750001125,10800016200,21300031950,31.37,0.2844427841118259,b1024_gpu4_dataloader16
58,_int_free,15150022725,52501575,7500225,907527225,28500042750,0,0,14100021150,16650024975,25350038025,12.8,0.11606208596210937,b1024_gpu4_dataloader16
59,__libc_calloc,2250003375,37501125,0,360010800,4800007200,0,0,2100003150,6300009450,9150013725,3.605,0.032687798429172216,b1024_gpu4_dataloader16
60,decode_mcu,91500137250,412512375,7500225,220941628050,174450261675,0,0,27000040500,1534052301075,2709454064175,2215.11,17.485269490667157,b1024_gpu4_dataloader20
61,jpeg_idct_islow,13200019800,255007650,7500225,190153204425,31800047700,0,0,4500006750,250650375975,552150828225,1894.6750000000002,14.955872607784624,b1024_gpu4_dataloader20
62,ImagingResampleHorizontal_8bpc,18300027450,5737672125,112503375,89155174575,28350042525,0,0,8250012375,194250291375,230100345150,900.12,7.105218600403285,b1024_gpu4_dataloader20
63,ycc_rgb_convert,13350020025,1305039150,45001350,73704711075,33150049725,0,0,7500011250,98250147375,129450194175,751.3199999999999,5.930645734852015,b1024_gpu4_dataloader20
64,ImagingResampleVertical_8bpc,20550030825,3795113850,22500675,61156834650,45450068175,0,0,14700022050,177900266850,203550305325,621.41,4.905183631600903,b1024_gpu4_dataloader20
65,jpeg_fill_bit_buffer,3300004950,97502925,7500225,45766372950,5550008325,0,0,4200006300,179250268875,486450729675,472.28499999999997,3.7280453347236646,b1024_gpu4_dataloader20
66,__memmove_avx_unaligned_erms,756601134900,25343260275,375011250,43538806125,2821504232250,0,0,634800952200,1092601638900,1231651847475,410.73499999999996,3.2421921097594133,b1024_gpu4_dataloader20
67,jpeg_idct_16x16,1800002700,82502475,7500225,32130963900,2400003600,0,0,450000675,41100061650,75450113175,322.65500000000003,2.546920752247614,b1024_gpu4_dataloader20
68,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",609450914175,11385341550,5820174600,25455763650,2509203763800,0,0,499650749475,726151089225,736951105425,256.71000000000004,2.0263750021214144,b1024_gpu4_dataloader20
69,ImagingUnpackRGB,8400012600,6405192150,112503375,21038131125,10200015300,0,0,5850008775,44250066375,97350146025,202.955,1.6020526608061687,b1024_gpu4_dataloader20
70,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",167250250875,7875236250,82502475,19913097375,551550827325,0,0,78450117675,339300508950,400950601425,192.19,1.5170776816552318,b1024_gpu4_dataloader20
71,decompress_onepass,3150004725,112503375,0,18113043375,15150022725,0,0,4200006300,73950110925,111450167175,185.0,1.4603224470899523,b1024_gpu4_dataloader20
72,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",4650006975,180005400,7500225,12412872375,5700008550,0,0,2850004275,32400048600,42900064350,125.49000000000001,0.9905722372179357,b1024_gpu4_dataloader20
73,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",65400098100,6750202500,90002700,9577787325,113850170775,0,0,20100030150,159750239625,201300301950,86.36,0.681694305571288,b1024_gpu4_dataloader20
74,ImagingPackRGB,5550008325,2107563225,7500225,5190155700,20100030150,0,0,3750005625,17400026100,34500051750,53.61,0.4231777642621207,b1024_gpu4_dataloader20
75,__memset_avx2_unaligned_erms,4800007200,165004950,7500225,4200126000,7650011475,0,0,1950002925,16800025200,37950056925,42.445,0.33504533117152985,b1024_gpu4_dataloader20
76,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",43200064800,22500675,0,3337600125,500250750375,0,0,29550044325,53400080100,51000076500,36.31,0.2866178813720874,b1024_gpu4_dataloader20
77,ImagingFlipLeftRight,3300004950,1552546575,15000450,3562606875,10950016425,0,0,3450005175,13200019800,25050037575,34.225,0.27015965271164116,b1024_gpu4_dataloader20
78,_int_free,15300022950,112503375,45001350,1567547025,31500047250,0,0,14250021375,21900032850,33600050400,14.995000000000001,0.11836505456277747,b1024_gpu4_dataloader20
79,__libc_calloc,2400003600,30000900,7500225,345010350,4050006075,0,0,2700004050,6000009000,9000013500,3.43,0.027075167532532626,b1024_gpu4_dataloader20
80,decode_mcu,120300180450,570017100,7500225,235807074000,218700328050,0,0,40500060750,1798052697075,3165154747725,2340.98,16.67324295565492,b1024_gpu4_dataloader24
81,jpeg_idct_islow,17100025650,292508775,15000450,210096302700,42450063675,0,0,6600009900,321600482400,693901040850,2059.0099999999998,14.664958255996648,b1024_gpu4_dataloader24
82,ImagingResampleHorizontal_8bpc,23550035325,6397691925,67502025,105220656525,35700053550,0,0,12750019125,298800448200,359250538875,1059.905,7.548998101185584,b1024_gpu4_dataloader24
83,ycc_rgb_convert,17400026100,1290038700,30000900,85802574000,51600077400,0,0,8700013050,139950209925,188700283050,869.6500000000001,6.193938323430915,b1024_gpu4_dataloader24
84,ImagingResampleVertical_8bpc,26550039825,4027620825,45001350,71484644475,60450090675,0,0,22050033075,280950421425,298500447750,729.2850000000001,5.1942118210812565,b1024_gpu4_dataloader24
