Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
_aligned_contig_to_strided_size1,1.331991,1.331991,0.0,0.0,_multiarray_umath.cpython-310-x86_64-linux-gnu.so,_aligned_contig_to_strided_size1,[Unknown],0x6fcd0
__memset_avx2_erms,0.599984,0.599984,0.0,0.0,libc.so.6,__memset_avx2_erms,memset-vec-unaligned-erms.S,0x18bd60
rgb2l,0.482003,0.482003,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,rgb2l,[Unknown],0x27d50
ImagingUnpackRGB,0.460000,0.460000,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x678a0
__memmove_avx_unaligned_erms,0.375994,0.375994,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
arena_map_is_used,0.012010,0.012010,0.0,0.0,python3.10,arena_map_is_used,obmalloc.c,0x4feef3
ImagingFill,0.007995,0.007995,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingFill,[Unknown],0x37a70
