Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	2340.983s	7,709,760,000,000	9,836,528,000,000	0.784	48.9%	14.5%	39.8%	21.8%	1.0%	0.5%	10.3%	0.0%	0.0%	0.0%	0.3%	0.0%	3.3 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	2059.013s	6,815,168,000,000	13,941,152,000,000	0.489	82.4%	10.6%	3.6%	4.5%	0.2%	0.1%	9.3%	0.0%	0.1%	0.0%	1.0%	3.1%	3.3 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	1059.906s	3,508,864,000,000	8,270,656,000,000	0.424	88.3%	7.7%	2.1%	7.8%	0.3%	0.2%	14.1%	0.1%	0.0%	0.0%	0.0%	1.6%	3.3 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	869.651s	2,804,560,000,000	6,390,048,000,000	0.439	88.9%	10.3%	0.0%	4.4%	0.3%	0.3%	11.2%	0.0%	0.0%	0.0%	0.5%	0.9%	3.2 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	729.286s	2,445,408,000,000	5,569,824,000,000	0.439	87.8%	6.9%	1.1%	10.4%	0.2%	0.5%	9.1%	0.2%	0.0%	0.0%	0.6%	3.4%	3.4 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	542.841s	1,782,272,000,000	2,148,960,000,000	0.829	44.0%	21.8%	40.8%	14.2%	0.1%	0.0%	9.4%	0.0%	0.2%	0.0%	0.0%	0.0%	3.3 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	440.451s	1,497,120,000,000	176,896,000,000	8.463	6.2%	3.9%	2.2%	24.2%	8.5%	10.1%	48.3%	100.0%	2.0%	0.0%	82.9%	5.5%	3.4 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	381.536s	1,219,360,000,000	2,701,776,000,000	0.451	89.0%	11.2%	0.0%	4.2%	0.1%	0.1%	9.6%	0.0%	0.0%	0.0%	2.3%	0.0%	3.2 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	262.325s	895,216,000,000	166,288,000,000	5.384	6.7%	4.2%	0.0%	18.2%	9.1%	16.7%	73.2%	100.0%	100.0%	0.0%	82.9%	5.6%	3.4 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
ImagingUnpackRGB	224.310s	754,080,000,000	1,934,288,000,000	0.390	91.5%	8.7%	0.0%	8.0%	0.2%	0.0%	10.7%	0.0%	0.0%	0.0%	5.7%	3.9%	3.4 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
