Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	1868.632s	6,275,872,000,000	11,027,520,000,000	0.569	41.5%	8.5%	42.7%	17.6%	0.2%	0.1%	11.5%	0.0%	0.0%	0.0%	0.1%	4.4%	3.4 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1472.182s	4,996,304,000,000	14,366,464,000,000	0.348	68.7%	3.1%	5.9%	1.8%	0.0%	0.0%	9.2%	0.0%	0.0%	0.0%	0.3%	20.9%	3.4 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	667.206s	2,244,448,000,000	7,933,392,000,000	0.283	88.5%	1.6%	0.0%	0.8%	0.0%	0.2%	8.2%	0.0%	0.0%	0.0%	0.0%	9.9%	3.4 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	537.976s	1,812,320,000,000	6,581,392,000,000	0.275	84.0%	0.5%	1.3%	0.2%	0.1%	0.0%	9.5%	0.0%	0.0%	0.0%	0.4%	13.2%	3.4 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	463.466s	1,558,096,000,000	4,986,960,000,000	0.312	85.8%	0.5%	0.2%	1.0%	0.1%	0.4%	4.9%	1.0%	0.0%	0.0%	0.2%	12.6%	3.4 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	365.740s	1,222,448,000,000	1,528,432,000,000	0.800	27.9%	15.0%	53.1%	6.9%	0.2%	0.1%	11.5%	0.0%	0.0%	0.0%	0.0%	3.2%	3.3 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	288.605s	973,536,000,000	166,704,000,000	5.840	6.2%	2.4%	1.3%	24.3%	10.2%	23.2%	59.0%	47.3%	0.8%	0.0%	80.6%	11.3%	3.4 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	235.285s	784,208,000,000	2,739,744,000,000	0.286	86.7%	1.3%	0.6%	0.5%	0.0%	0.0%	6.9%	0.0%	0.0%	0.0%	0.6%	10.8%	3.3 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	227.455s	760,976,000,000	153,824,000,000	4.947	5.0%	0.8%	0.0%	16.1%	7.9%	16.0%	72.5%	100.0%	100.0%	0.0%	87.5%	4.0%	3.3 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
func@0x3fd7b0	178.460s	567,024,000,000	1,290,944,000,000	0.439	53.3%	1.6%	0.0%	6.2%	5.2%	0.2%	0.6%	0.0%	1.6%	0.0%	0.0%	38.1%	3.2 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
