Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	2529.858s	8,396,080,000,000	9,749,952,000,000	0.861	48.9%	15.9%	38.3%	21.0%	1.2%	0.6%	10.0%	0.0%	0.0%	0.0%	0.4%	0.0%	3.3 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	2285.968s	7,541,504,000,000	14,081,952,000,000	0.536	80.5%	11.7%	4.0%	5.0%	0.1%	0.1%	9.3%	0.0%	0.0%	0.0%	1.1%	3.3%	3.3 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	1092.406s	3,654,464,000,000	8,280,160,000,000	0.441	94.7%	10.0%	0.0%	8.9%	0.5%	0.2%	14.9%	0.0%	0.0%	0.0%	0.0%	0.0%	3.3 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	959.796s	3,177,072,000,000	6,449,360,000,000	0.493	85.6%	11.8%	0.0%	5.0%	0.2%	0.3%	10.7%	0.0%	0.0%	0.0%	0.4%	2.8%	3.3 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	728.621s	2,479,424,000,000	5,544,192,000,000	0.447	95.8%	8.7%	0.0%	11.8%	0.5%	0.5%	10.6%	0.9%	0.0%	0.0%	0.7%	0.0%	3.4 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	598.461s	1,965,632,000,000	2,295,040,000,000	0.856	45.8%	22.5%	37.8%	13.4%	0.2%	0.1%	9.3%	0.2%	0.0%	0.0%	0.0%	0.0%	3.3 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	456.921s	1,545,584,000,000	173,968,000,000	8.884	6.8%	5.5%	1.2%	23.3%	8.1%	9.2%	49.0%	100.0%	1.9%	0.0%	84.4%	7.8%	3.4 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	401.416s	1,369,104,000,000	2,747,248,000,000	0.498	89.9%	13.7%	0.0%	5.2%	0.1%	0.0%	9.6%	0.0%	0.0%	0.0%	2.8%	0.0%	3.4 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	274.255s	896,576,000,000	161,920,000,000	5.537	7.6%	5.0%	0.0%	14.1%	15.2%	14.8%	77.3%	100.0%	100.0%	0.0%	87.8%	3.8%	3.3 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
ImagingUnpackRGB	249.785s	825,712,000,000	1,914,048,000,000	0.431	89.3%	7.7%	5.5%	8.6%	0.3%	1.0%	10.5%	0.0%	0.0%	0.0%	6.5%	0.0%	3.3 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
