Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	2006.758s	6,671,840,000,000	10,612,640,000,000	0.629	39.6%	8.7%	39.7%	16.9%	0.2%	0.1%	7.7%	0.0%	0.0%	0.0%	0.1%	7.4%	3.3 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1602.037s	5,409,568,000,000	13,804,688,000,000	0.392	65.6%	3.4%	6.8%	2.1%	0.0%	0.0%	6.0%	0.0%	0.0%	0.0%	0.4%	22.3%	3.4 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	667.346s	2,178,576,000,000	8,230,032,000,000	0.265	92.1%	2.1%	0.2%	1.8%	0.1%	0.2%	9.4%	0.2%	0.0%	0.0%	0.0%	5.1%	3.3 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	591.146s	1,997,056,000,000	6,341,024,000,000	0.315	83.0%	1.2%	1.4%	0.5%	0.1%	0.1%	6.5%	0.3%	0.0%	0.0%	0.6%	12.8%	3.4 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	457.296s	1,465,008,000,000	5,637,072,000,000	0.260	98.4%	1.1%	0.0%	2.3%	0.0%	0.7%	5.5%	0.0%	0.0%	0.0%	0.6%	4.9%	3.2 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	396.996s	1,332,192,000,000	1,495,840,000,000	0.891	27.2%	14.3%	49.5%	6.9%	0.0%	0.1%	7.5%	0.2%	0.0%	0.0%	0.0%	7.3%	3.4 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	337.310s	1,184,160,000,000	188,448,000,000	6.284	5.3%	2.0%	0.5%	26.3%	8.7%	17.5%	51.3%	73.8%	2.6%	0.0%	80.1%	8.6%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	242.150s	860,912,000,000	2,625,936,000,000	0.328	78.5%	1.9%	3.6%	0.7%	0.1%	0.0%	5.3%	0.0%	0.0%	0.0%	1.1%	14.5%	3.6 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	230.375s	762,128,000,000	178,128,000,000	4.279	5.0%	1.4%	0.4%	14.4%	8.3%	16.2%	79.5%	100.0%	100.0%	0.0%	89.5%	5.4%	3.3 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
func@0x3fd7b0	200.135s	639,664,000,000	1,346,032,000,000	0.475	52.2%	2.0%	0.0%	8.3%	4.1%	0.0%	0.0%	0.9%	0.0%	0.0%	0.0%	36.7%	3.2 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0	158.105s	540,992,000,000	222,144,000,000	2.435	13.6%	0.8%	0.8%	25.7%	16.0%	11.6%	99.5%	0.0%	0.0%	0.0%	13.4%	34.7%	3.4 GHz	[Unknown]	at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>(char**, long, long, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&&&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&&&).isra.0	[Unknown]	0
decompress_onepass	156.520s	522,240,000,000	997,936,000,000	0.523	54.3%	6.4%	20.4%	4.4%	0.0%	0.5%	5.9%	0.0%	0.0%	0.0%	0.8%	15.3%	3.3 GHz	[Unknown]	decompress_onepass	[Unknown]	0
ImagingUnpackRGB	155.925s	547,680,000,000	1,939,504,000,000	0.282	85.1%	5.5%	0.0%	1.5%	0.0%	0.6%	7.2%	0.0%	0.0%	0.0%	3.4%	7.7%	3.5 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
_PyEval_EvalFrameDefault	141.050s	449,904,000,000	286,304,000,000	1.571	16.7%	35.0%	16.1%	1.6%	2.0%	11.7%	34.9%	33.0%	2.6%	0.0%	6.4%	4.5%	3.2 GHz	[Unknown]	_PyEval_EvalFrameDefault	ceval.c	0
clear_page_erms	138.775s	508,640,000,000	25,232,000,000	20.159	6.8%	1.5%	0.0%	0.0%	0.0%	0.0%	2.1%	0.0%	0.0%	0.0%	87.2%	46.2%	3.7 GHz	[Unknown]	clear_page_erms	[Unknown]	0
__memset_avx2_erms	105.220s	341,392,000,000	160,000,000	2,133.700	3.9%	0.9%	0.0%	0.0%	0.0%	0.0%	2.8%	0.0%	0.0%	0.0%	98.9%	47.9%	3.2 GHz	[Unknown]	__memset_avx2_erms	memset-vec-unaligned-erms.S	0
at::native::(anonymous namespace)::cat_serial_kernel	101.525s	329,456,000,000	111,056,000,000	2.967	9.0%	8.3%	5.9%	3.0%	0.6%	2.9%	61.0%	100.0%	19.0%	0.0%	9.4%	29.3%	3.2 GHz	[Unknown]	at::native::(anonymous namespace)::cat_serial_kernel(at::Tensor const&, std::vector<std::reference_wrapper<at::Tensor const>, std::allocator<std::reference_wrapper<at::Tensor const>>> const&, long)	[Unknown]	0
page_fault	94.445s	288,624,000,000	9,680,000,000	29.817	11.2%	11.5%	7.3%	0.0%	0.6%	0.0%	37.4%	0.0%	0.0%	0.0%	12.0%	51.3%	3.1 GHz	[Unknown]	page_fault	[Unknown]	0
