Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
decode_mcu	2215.113s	7,206,448,000,000	10,316,000,000,000	0.699	45.3%	11.8%	41.1%	20.0%	0.9%	0.3%	8.8%	0.0%	0.0%	0.0%	0.2%	1.1%	3.3 GHz	[Unknown]	decode_mcu	[Unknown]	0
jpeg_idct_islow	1894.678s	6,172,512,000,000	14,002,432,000,000	0.441	76.4%	7.5%	4.3%	3.8%	0.1%	0.0%	7.7%	0.0%	0.0%	0.0%	0.9%	10.7%	3.3 GHz	[Unknown]	jpeg_idct_islow	[Unknown]	0
ImagingResampleHorizontal_8bpc	900.121s	2,986,736,000,000	8,015,392,000,000	0.373	88.8%	5.2%	2.3%	5.9%	0.3%	0.2%	12.0%	0.0%	0.0%	0.0%	0.0%	3.2%	3.3 GHz	[Unknown]	ImagingResampleHorizontal_8bpc	[Unknown]	0
ycc_rgb_convert	751.321s	2,490,736,000,000	6,403,632,000,000	0.389	86.1%	6.2%	0.0%	3.4%	0.2%	0.2%	8.9%	0.0%	0.0%	0.0%	0.7%	7.4%	3.3 GHz	[Unknown]	ycc_rgb_convert	[Unknown]	0
ImagingResampleVertical_8bpc	621.411s	2,101,952,000,000	5,520,992,000,000	0.381	88.2%	4.6%	0.0%	7.5%	0.3%	0.3%	7.5%	0.3%	0.0%	0.0%	0.6%	7.6%	3.4 GHz	[Unknown]	ImagingResampleVertical_8bpc	[Unknown]	0
jpeg_fill_bit_buffer	472.286s	1,563,280,000,000	1,915,744,000,000	0.816	36.2%	18.7%	47.1%	11.3%	0.0%	0.0%	8.7%	0.0%	0.0%	0.2%	0.0%	0.0%	3.3 GHz	[Unknown]	jpeg_fill_bit_buffer	[Unknown]	0
__memmove_avx_unaligned_erms	410.736s	1,430,576,000,000	181,616,000,000	7.877	5.3%	3.1%	1.1%	23.5%	8.5%	11.1%	48.2%	100.0%	2.1%	0.0%	81.1%	8.2%	3.5 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
jpeg_idct_16x16	322.655s	1,063,232,000,000	2,717,072,000,000	0.391	87.2%	6.8%	0.8%	3.7%	0.1%	0.0%	7.6%	0.0%	0.0%	0.0%	1.9%	4.5%	3.3 GHz	[Unknown]	jpeg_idct_16x16	[Unknown]	0
c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>	256.710s	862,896,000,000	173,200,000,000	4.982	6.4%	3.1%	0.6%	13.5%	12.7%	15.3%	78.1%	97.2%	100.0%	0.0%	89.1%	4.1%	3.4 GHz	[Unknown]	c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>(long, char**, long const*, long, long)	[Unknown]	0
ImagingUnpackRGB	202.955s	649,600,000,000	1,998,544,000,000	0.325	87.0%	7.4%	2.9%	5.5%	0.4%	0.9%	9.5%	0.0%	0.0%	0.0%	4.7%	2.1%	3.2 GHz	[Unknown]	ImagingUnpackRGB	[Unknown]	0
