Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
__memmove_avx_unaligned_erms,1.746827,1.746827,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
ImagingPackRGB,0.499091,0.499091,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingPackRGB,[Unknown],0x4ba20
do_mkvalue,0.012000,0.012000,0.0,0.0,python3.10,do_mkvalue,modsupport.c,0x426d4a
tuple_alloc,0.011997,0.011997,0.0,0.0,python3.10,tuple_alloc,tupleobject.c,0x4272bf
_Py_DECREF,0.011147,0.011147,0.0,0.0,python3.10,_Py_DECREF,object.h,0x4dd8d7
munmap,0.010000,0.010000,0.0,0.0,libc.so.6,munmap,syscall-template.S,0x118b90
