Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
__memmove_avx_unaligned_erms,1.759955,1.759955,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
ImagingPackRGB,0.428487,0.428487,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingPackRGB,[Unknown],0x4ba20
do_mkvalue,0.020001,0.020001,0.0,0.0,python3.10,do_mkvalue,modsupport.c,0x426d4a
munmap,0.010000,0.010000,0.0,0.0,libc.so.6,munmap,syscall-template.S,0x118b90
PyObject_IsTrue,0.008002,0.008002,0.0,0.0,python3.10,PyObject_IsTrue,object.c,0x506b00
