config,Collation,Loader,Normalize,RandomHorizontalFlip,RandomResizedCrop,ToTensor
8,563.986893244,6403.771336355,305.510900375,93.134638506,1518.370252593,517.851273916
12,590.135717085,6593.468412889,327.043441268,103.767640744,1626.752773813,590.906685759
16,598.5595924090001,6993.188164534,340.897326061,115.473950798,1764.97107066,645.331624833
20,682.9804340640001,8015.6657783129995,373.955439385,134.831770139,2108.322262206,741.627179539
24,761.9794405790001,8890.533512495,403.671689303,154.76278103,2410.364354286,827.315514811
28,854.897752477,9524.580188535,421.846046861,162.301184511,2573.914096539,886.106666658
