Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.175921,2.175921,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
ImagingUnpackRGB,1.536014,1.536014,0.0,0.0,_imaging.cpython-310-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x614e0
__memmove_avx_unaligned_erms,1.509995,1.509995,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b5f0
ycc_rgb_convert,1.143968,1.143968,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
jpeg_idct_islow,0.664021,0.664021,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
decode_mcu,0.119999,0.119999,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
jpeg_fill_bit_buffer,0.048019,0.048019,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
decompress_onepass,0.036006,0.036006,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
__memset_avx2_unaligned_erms,0.024002,0.024002,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18ba70
jpeg_read_scanlines,0.012002,0.012002,0.0,0.0,libjpeg.so.9,jpeg_read_scanlines,[Unknown],0x12b10
__libc_calloc,0.008775,0.008775,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb40
